"RANK";"NAME";"PTS";"TS";"CS";"BS";"GT";"K";"D";"KDR";"GA";"W";"L";"WLR";"SPM";"DS";"TDS";"CTF";"ZS";"MW";"MD";"MF";"MRK";"COL"
"1";"teh_Merovingian";"1010589225";"757942998";"505290647";"756";"-504275585";"252645453";"252645371";"1.0000004";"1623.1896";"30";"22";"1.3636364";"0.0";"0";"231";"1010588807";"31";"37.388412";"16.188307";"352.33856";"156";"0"
"2";"XxChI_cHiPo_26xX";"5000266490";"5000144727";"107891";"18340";"1643837";"102848";"17049";"6.0324945";"204.88518";"979";"2735";"0.35795248";"182509.56";"-1342171125";"2414";"6342433388";"479";"Infinity";"380.65607";"9503.894";"825";"509"
"3";"agix13";"5005786";"562";"5005001";"229";"2458";"5005001";"7";"715000.1";"185.9163";"34";"2";"17.0";"122191.68";"0";"0";"5005786";"0";"8.17008";"0.0";"0.0";"0";"0"
"4";"ACCOUT-CHECK";"5392";"59";"4881";"452";"206608";"4880";"6";"813.3333";"8.259259";"10";"0";"10.0";"1.565864";"5292";"0";"100";"0";"1.2526193";"0.36681968";"16.216036";"0";"0"
"5";"dozyrose1";"549851";"432197944";"1067150";"8144";"221988";"2431235";"251659351";"0.009660818";"6.637417";"288";"85";"3.3882353";"148.61641";"-61196";"135";"610745";"167";"154.81523";"65.663895";"1556.926";"0";"0"
"6";"BadGuyKiller-";"2";"0";"6";"0";"25";"6";"0";"6.0";"6.0";"0";"1";"0.0";"4.8";"0";"0";"2";"0";"0.043682016";"0.0";"0.6743293";"0";"0"
"7";"Ezalis3";"0";"0";"1";"0";"157";"1";"2";"0.5";"6.0";"0";"1";"0.0";"0.0";"0";"0";"0";"0";"0.12005295";"0.5396221";"2.3772633";"0";"0"
"8";"l-KiNG-KEBAP-l";"5";"0";"5";"0";"24";"5";"0";"5.0";"5.0";"0";"1";"0.0";"12.5";"0";"5";"0";"0";"0.044092827";"0.0";"0.94080406";"0";"0"
"9";"EvO_xNike";"292009";"13841";"276129";"2382";"194527";"276030";"18206";"15.161486";"4.161283";"82";"155";"0.52903223";"90.06739";"178";"73";"291667";"51";"213.49995";"46.543083";"514.23663";"40";"0"
"10";"lIBladeIl";"810557";"800253";"10045";"278";"11459";"510115";"71";"7184.7183";"4.022918";"8";"11";"0.72727275";"4244.124";"59";"0";"810498";"0";"10.63433";"0.023655329";"20.693203";"0";"0"
"11";"yosshi272727";"10";"1";"10";"0";"56";"5";"1";"5.0";"3.75";"0";"0";"0.0";"10.714286";"0";"0";"10";"0";"0.07983181";"0.35565543";"0.0";"0";"0"
"12";"harkok27";"2";"2";"0";"0";"111";"0";"2";"0.0";"3.4375";"0";"1";"0.0";"1.081081";"0";"0";"0";"2";"0.17255275";"0.0";"0.5652922";"0";"0"
"13";"Raggamuffin520";"6";"3";"3";"0";"1599";"2";"1";"2.0";"3.0";"0";"2";"0.0";"0.22514072";"0";"0";"6";"0";"0.2541328";"0.26966575";"0.0";"0";"0"
"14";"tomlikesrocks2";"1";"0";"2";"0";"87";"1";"1";"1.0";"3.0";"0";"1";"0.0";"0.6896551";"0";"0";"0";"0";"0.23790444";"0.0";"0.0";"1";"0"
"15";"tauikebaby";"0";"0";"0";"0";"105";"0";"2";"0.0";"3.0";"0";"1";"0.0";"0.0";"0";"0";"0";"0";"0.26109302";"0.0";"0.0";"0";"0"
"16";"Honey_bunnyy0220";"1";"0";"1";"0";"117";"1";"1";"1.0";"2.5";"0";"1";"0.0";"0.5128205";"0";"0";"1";"0";"0.00933547";"0.0";"5.336463";"0";"0"
"17";"asderfty";"-59";"0";"5";"0";"79";"5";"0";"5.0";"2.5";"0";"1";"0.0";"-44.810123";"0";"0";"-59";"0";"0.20046318";"0.0";"0.0";"0";"0"
"18";"II-3nvyII";"1000727379968";"1000727379968";"0";"0";"115228";"0";"0";"0.0";"2.2143922";"1326";"205";"6.4682927";"5.21085536E8";"6246";"32988";"1000717340572";"10000126";"279.2591";"5.2464185";"808.60077";"22";"14"
"19";"ThE_ChAmPiOn_199";"83";"83";"0";"0";"1800";"0";"1";"0.0";"2.0";"0";"1";"0.0";"2.7666667";"0";"83";"0";"0";"9.0522214E-4";"0.91393536";"0.0";"0";"0"
"20";"The-Anti-Cheater";"56";"34";"15";"10";"879";"11";"2";"5.5";"2.0";"1";"3";"0.33333334";"3.8225257";"0";"0";"37";"19";"0.52406454";"0.71467066";"6.4871407";"0";"0"
