"RANK";"NAME";"PTS";"TS";"CS";"BS";"GT";"K";"D";"KDR";"GA";"W";"L";"WLR";"SPM";"DS";"TDS";"CTF";"ZS";"MW";"MD";"MF";"MRK";"COL"
"1";"Score";"17504139188203";"18680960245253";"18680960245253";"18680960245253";"20038071";"0";"0";"0.0";"0.0";"0";"0";"0.0";"5.2412644E7";"0";"4861902972280";"10269266788198";"695784700980";"0.12825993";"0.0";"0.0";"1677184726745";"0"
"2";"uHoHBanGBanG";"3122441504874";"11089520298226";"1813139153";"7776458177335";"147811981";"14772";"4864";"3.0370066";"0.16927";"338";"1136";"0.2975352";"1267464.9";"4094";"13336802";"3122428163079";"11";"868.14154";"21.885397";"6400.558";"769";"119"
"3";"CARRAPATCHO";"434644926664";"433644676124";"432644314412";"431644380280";"7881083";"470745";"80813";"5.8251147";"0.20208468";"3575";"6450";"0.5542636";"3309024.2";"8729";"6200";"434644857070";"50234";"17243.092";"4150.166";"82278.57";"2452";"1979"
"4";"TheXtreemist";"-292057275870";"343597229269";"23622976274";"23622329886";"300019";"124";"22";"5.6363635";"0.19280837";"647";"490";"1.3204081";"-5.8407756E7";"1724";"604";"-292057278366";"4";"440.66574";"33.079216";"2094.213";"141";"23"
"5";"SkidPatrol";"8591387899";"8590034268";"4296219290";"4295069160";"412017";"621833";"1320";"471.0856";"0.18966268";"60";"169";"0.35502958";"1251121.2";"360";"101300016";"8490087412";"74";"239.23703";"4.837649";"66.85078";"27";"10"
"6";"LegendDesi";"2305016902";"1269190629";"-74377831";"1200237971";"4951371";"-996327338";"1805092829";"-0.5519535";"0.8423853";"2562";"3942";"0.6499239";"27931.861";"38522";"-1999973179";"4304941693";"1502";"7150.9688";"993.22546";"59625.09";"8058";"306"
"7";"ANFNTY_99";"1145360705";"572678844";"572668563";"572677767";"926250";"572668305";"286338753";"1.9999678";"0.9987328";"427";"993";"0.43001008";"74193.41";"2399";"2016";"1145350917";"4283";"1072.6396";"91.84101";"3042.8196";"315";"775"
"8";"BigCowboyKev";"1257362960";"754034448";"754978078";"503326095";"-517047";"754977629";"754978917";"0.9999982";"0.9989188";"341";"295";"1.1559322";"0.0";"154";"157";"1257361437";"959";"793.5182";"538.72107";"3784.5999";"133";"120"
"9";"TeoShN";"572950145";"286610552";"286333968";"286337439";"252215";"286333820";"1787";"160231.58";"0.21099429";"118";"198";"0.5959596";"136300.4";"675";"218";"572946748";"1737";"276.64676";"72.09292";"2653.647";"216";"551"
"10";"astrophycisien";"755264307";"251800655";"251736256";"251741901";"4875050";"72456";"60872";"1.190301";"0.19460887";"2072";"3934";"0.52669036";"9295.465";"6012";"25876";"755210484";"14728";"9766.996";"2103.2925";"49126.617";"5120";"2087"
"11";"l2isC";"7410026908";"5410019132";"1800006021";"200002214";"98317";"1426005964";"471";"3027613.5";"0.9971641";"38";"84";"0.45238096";"4522123.5";"351";"0";"7410026557";"0";"142.44908";"22.158535";"1120.0554";"0";"0"
"12";"Moon61RL";"-1759997584";"-939999000";"-939999159";"60000686";"49321";"984000769";"900000626";"1.0933334";"0.13234179";"16";"25";"0.64";"-2141072.8";"0";"240000103";"-1999997794";"107";"98.5187";"27.614313";"697.80786";"0";"0"
"13";"ShadowWalking-";"9199985147";"110001944";"9040000001";"50001205";"8290";"-1136237857";"1018";"-1116147.1";"0.9999621";"74";"3";"24.666666";"6.6586136E7";"2";"-1";"9199985146";"0";"7.0229115";"0.10269304";"102.25539";"0";"0"
"14";"shabbylace";"1533990108";"517003987";"1016908864";"16939759";"6111491";"516905800";"16897204";"30.591202";"0.21572213";"2445";"6211";"0.3936564";"15060.059";"12722";"4819";"1533956486";"12027";"9536.675";"1943.1888";"33242.742";"2350";"1704"
"15";"x-Stunnz";"34229611";"17369108";"16857181";"16846350";"22031";"16921173";"16843100";"1.0046352";"0.2922179";"310";"10";"31.0";"93222.13";"146";"0";"34229465";"0";"62.222485";"7.933338";"218.91982";"0";"0"
"16";"kill_maniac16";"33686080";"16843068";"16843020";"16843060";"21474";"16843018";"16843278";"0.99998456";"0.029959718";"2";"15";"0.13333334";"94121.484";"0";"0";"33686080";"0";"33.1485";"40.481464";"125.98745";"0";"0"
"17";"xJollyJumperx";"3264208";"165499";"52939";"3054822";"119953237";"46886";"29718";"1.577697";"0.18847847";"61942";"85473";"0.7246967";"1.6327403";"27";"52022";"1362843";"1639676";"6650.352";"4122.811";"129606.73";"852";"208788"
