"RANK";"NAME";"PTS";"TS";"CS";"BS";"GT";"K";"D";"KDR";"GA";"W";"L";"WLR";"SPM";"DS";"TDS";"CTF";"ZS";"MW";"MD";"MF";"MRK";"COL"
"1";"lI-speedracer-lI";"95871127180";"95871110875";"8825";"8263";"664953";"243472337";"15493982";"15.713994";"0.16371572";"203";"401";"0.5062344";"8650638.0";"1000000555";"20";"40438538322";"137";"692.22107";"132.60988";"6712.726";"0";"54432588146"
"2";"TheLegendaryCatz";"55834876603";"56834383243";"-999510317";"4035";"179557";"-999998757";"1000000650";"-0.99999815";"0.17014481";"160";"131";"1.221374";"1.8657544E7";"154";"-999999827";"5834600626";"0";"157.75496";"11.833763";"2343.973";"1";"51000275649"
"3";"TheXtreemiist";"3775670";"3775415";"172";"130";"11413";"460159";"80053";"5.7481794";"0.19694072";"15";"23";"0.65217394";"19849.312";"3";"0";"1775618";"0";"15.417231";"7.1256084";"104.86473";"0";"2000049"
"4";"DrAkE_02_";"629049";"605985";"9466";"17039";"1249237";"8615";"14357";"0.6000557";"0.21162309";"610";"925";"0.6594595";"30.212793";"245";"26084";"46965";"4785";"2028.0562";"1793.6418";"9809.729";"488";"550482"
"5";"hjc0515";"529404";"484983";"23239";"27271";"1872768";"22117";"22722";"0.97337383";"0.18500462";"1049";"1948";"0.538501";"16.961119";"11405";"2769";"234007";"4059";"3636.1692";"861.0814";"20230.365";"619";"276545"
"6";"T3ZeZ_77";"511001";"461867";"19034";"31858";"1608358";"17260";"4085";"4.225214";"0.2009659";"1125";"687";"1.6375545";"19.062958";"5426";"2583";"221225";"3040";"682.8626";"138.42027";"21420.582";"2594";"276133"
"7";"x-WeXeFX";"277254";"275575";"941";"885";"150366";"913";"788";"1.1586294";"0.11328956";"41";"182";"0.22527473";"110.63165";"109";"330";"1796";"4";"117.766205";"14.069861";"1844.8489";"0";"275015"
"8";"i3s93";"381475";"271324";"43669";"69678";"3088024";"41767";"12415";"3.3642368";"0.14233962";"1141";"1577";"0.7235257";"7.4120216";"3304";"2010";"108518";"12957";"1518.8754";"450.24136";"91294.484";"0";"254686"
"9";"RMT";"750640";"413930";"159047";"195916";"11914367";"120954";"97821";"1.236483";"0.13068877";"5004";"6158";"0.8126015";"3.7801757";"5843";"27239";"405272";"70967";"18689.688";"10625.265";"178417.25";"2968";"238351"
"10";"markjayw";"2049716";"576492";"693160";"819522";"32743306";"638554";"191097";"3.3415177";"0.14351152";"17200";"12676";"1.356895";"3.7559726";"2888";"233846";"1117303";"469356";"27784.928";"6519.723";"1028886.1";"4039";"222284"
"11";"xJollyJumperx";"3264208";"165499";"52939";"3054822";"119953237";"46886";"29718";"1.577697";"0.18847847";"61942";"85473";"0.7246967";"1.6327403";"27";"52022";"1362843";"1639676";"6650.352";"4122.811";"129606.73";"852";"208788"
"12";"xxLuckyLukexx";"3002040";"780178";"196106";"2052245";"67057660";"178898";"85672";"2.0881734";"0.17810413";"38694";"47573";"0.8133605";"2.6860826";"5172";"23962";"1287856";"1519196";"25820.314";"15703.549";"428875.53";"1623";"164231"
"13";"SamuraiJim";"2178392";"416514";"171873";"1636442";"64275444";"162449";"135307";"1.2005957";"0.18270475";"32658";"44041";"0.7415363";"2.033491";"32249";"66273";"1224968";"693012";"18633.834";"6089.373";"244723.83";"7612";"154278"
"14";"CollectorGadget";"359779";"96923";"107269";"161560";"8647847";"85086";"28442";"2.991562";"0.18170342";"3901";"4892";"0.7974244";"2.4961982";"8597";"22839";"120995";"61526";"11155.621";"3193.9287";"140477.66";"3559";"142263"
"15";"asscoffee20lbs";"308473";"104457";"99789";"110642";"5880662";"83016";"55066";"1.5075728";"0.19654894";"2017";"2499";"0.8071228";"3.1473293";"7955";"16014";"139928";"7220";"8546.363";"19054.865";"12267.889";"1120";"136236"
"16";"aris79";"2947501";"628713";"272136";"2085148";"64124864";"247944";"117408";"2.1118152";"0.17392114";"38439";"42565";"0.9030659";"2.7579014";"10392";"52711";"1270089";"1473434";"19279.564";"7051.304";"510415.38";"7912";"132963"
"17";"Millenneus";"280569";"138766";"76485";"68816";"5130563";"59419";"56944";"1.0434637";"0.20042132";"2545";"2164";"1.1760628";"3.2811487";"257";"1137";"62727";"87548";"8776.628";"4971.846";"52120.668";"240";"128660"
"18";"J-A-M-B-O-N";"303945";"109267";"103302";"96417";"5688216";"79108";"34346";"2.3032668";"0.23587704";"2410";"2402";"1.0033306";"3.206049";"6646";"19578";"123443";"28926";"7751.6123";"4117.3916";"70150.484";"210";"125142"
"19";"chevybelair";"391077";"145209";"82929";"187191";"7083212";"68386";"75020";"0.91157025";"0.2057332";"3356";"2433";"1.379367";"3.312709";"1100";"12031";"208387";"61562";"10564.386";"6512.8833";"165588.45";"1753";"106244"
"20";"MrLoserx";"898487";"63745";"724";"834926";"36405165";"520";"554938";"9.370416E-4";"0.020544302";"17237";"25316";"0.68087375";"1.4808124";"138";"30166";"428793";"338508";"182.11002";"77.73319";"1161.7124";"50";"100832"
"21";"MrLuici";"855066";"47578";"1538";"807591";"58724450";"1139";"621172";"0.0018336306";"0.22403713";"17024";"33506";"0.5080881";"0.87363887";"607";"3599";"539955";"210921";"183.458";"176.65504";"1500.5376";"300";"99684"
"22";"MrTamco";"889790";"71630";"695";"818557";"37707454";"511";"512597";"9.968845E-4";"0.12107939";"16822";"27117";"0.6203489";"1.4158313";"370";"22923";"399735";"366912";"118.46391";"85.22751";"1274.9751";"250";"99600"
"23";"DAREDEVILE";"616996";"204499";"226360";"198568";"11490789";"190773";"102153";"1.8675222";"0.20469564";"3475";"4917";"0.70673174";"3.22169";"1338";"14344";"479999";"20162";"11734.193";"46900.703";"16982.068";"1876";"99277"
"24";"MrThomaMi";"753706";"35623";"918";"718609";"68957216";"681";"586239";"0.0011616423";"0.19776145";"15650";"32971";"0.47465956";"0.6558032";"384";"875";"522582";"132367";"151.31877";"73.17253";"1253.8531";"650";"96848"
"25";"STL-SOLDIER";"647392";"173954";"220550";"266207";"11983696";"196633";"58615";"3.3546534";"0.18222743";"5164";"7585";"0.6808174";"3.241364";"13013";"84730";"400599";"45753";"11783.246";"6060.6494";"287108.3";"8168";"95129"
"26";"Blue6Max";"249279";"118410";"51707";"86061";"5834929";"40728";"64617";"0.63029855";"0.13180189";"2900";"2787";"1.0405453";"2.5633113";"1594";"14752";"84173";"51936";"8578.679";"7914.7744";"56515.426";"3541";"93283"
"27";"am1ga";"778007";"364722";"193507";"239470";"14047400";"153578";"116574";"1.3174293";"0.22737178";"7222";"8674";"0.83260316";"3.3230648";"2922";"24861";"557964";"91027";"28442.098";"16309.4375";"89231.195";"10895";"90338"
"28";"ManlyMisfit";"412652";"143733";"138818";"139726";"6162759";"119955";"60727";"1.9753158";"0.2628642";"3344";"4124";"0.81086326";"4.0175385";"21886";"16274";"178696";"96023";"9854.143";"3896.3313";"107005.37";"10991";"88782"
"29";"merwn8r";"260951";"100152";"61324";"106777";"5425102";"50238";"63135";"0.79572344";"0.15617567";"2474";"3675";"0.67319727";"2.8860397";"3701";"5848";"92389";"67843";"10222.874";"5895.382";"66165.3";"3216";"87954"
"30";"ROBO-33";"453191";"217741";"117366";"126334";"8065588";"98131";"98412";"0.99714464";"0.18054028";"3503";"5306";"0.660196";"3.3712928";"1636";"29127";"215362";"116719";"12700.336";"10704.316";"65634.55";"4313";"86034"
"31";"p1tst0p";"1523040";"651544";"326943";"589624";"33884739";"280645";"387699";"0.72387344";"0.14806859";"13387";"18503";"0.7235043";"2.6968598";"28750";"123833";"984103";"279167";"65393.414";"36899.16";"306425.5";"21509";"85678"
"32";"BLACKEAGLE112087";"332168";"96400";"92749";"149569";"4866464";"80399";"32224";"2.4950037";"0.24003";"2545";"2523";"1.0087198";"4.095392";"7223";"19472";"167211";"48061";"5995.699";"1440.7576";"128096.85";"6402";"83799"
"33";"T-O-S-T-A-K-Y";"207594";"89528";"63312";"64019";"3774907";"50897";"50346";"1.0109442";"0.22256777";"1636";"1681";"0.97323024";"3.2995884";"7591";"11262";"85540";"20279";"6461.583";"4398.157";"28121.57";"350";"82572"
"34";"NAVARRO_LPA";"1265185";"351990";"105482";"827245";"27830950";"95405";"56982";"1.6743007";"0.18052454";"15804";"19239";"0.82145643";"2.7275786";"5230";"33139";"611968";"532843";"15609.128";"3544.1724";"246868.7";"1278";"80727"
"35";"Rantanplany";"832849";"32910";"12320";"789042";"36722113";"11549";"3931";"2.9379294";"0.30127996";"16585";"26535";"0.62502354";"1.3607861";"6359";"7668";"405566";"332505";"1027.0581";"981.14886";"22868.75";"350";"80401"
"36";"The_Danimal";"317534";"114591";"86778";"121244";"4494191";"78510";"43025";"1.824753";"0.18888596";"2461";"2640";"0.932197";"4.2392592";"12806";"27049";"99257";"92024";"6054.6113";"2644.068";"94928.164";"6107";"80291"
"37";"DefaultSys";"294411";"125869";"70504";"101232";"4338385";"61045";"25532";"2.390921";"0.20252208";"2086";"2540";"0.82125986";"4.0717134";"330";"3664";"111416";"100952";"3406.0684";"4578.9663";"107894.87";"597";"77452"
"38";"TheBlackWolf";"418380";"162783";"110535";"149727";"7123692";"89462";"39206";"2.2818446";"0.18962213";"3353";"2907";"1.1534227";"3.5238469";"133";"3568";"216230";"124991";"10864.234";"5784.9863";"105050.07";"510";"72948"
"39";"Leelow_Raptor";"423083";"173350";"96043";"163011";"6777242";"78877";"59984";"1.3149673";"0.15875454";"3705";"4686";"0.790653";"3.745621";"12039";"19362";"117083";"194009";"10727.192";"6851.0127";"67850.25";"7705";"72885"
"40";"ritsch35";"2579258";"876386";"615671";"1171940";"35849870";"544708";"236564";"2.302582";"0.21290497";"16798";"14995";"1.1202401";"4.3167653";"72216";"58041";"2030821";"340054";"50366.312";"28162.236";"626586.94";"7026";"71100"
"41";"TRUEX1965";"847756";"231148";"155960";"471234";"16037501";"139536";"64078";"2.177596";"0.1375443";"8756";"7610";"1.1505914";"3.1716511";"466";"74187";"470392";"225206";"8572.29";"3585.2288";"283456.7";"7357";"70148"
"42";"Scooter-Mac";"256180";"86882";"82801";"95477";"5149667";"67912";"44110";"1.5396055";"0.20473775";"1847";"1874";"0.9855923";"2.9848144";"2310";"10155";"155456";"16082";"7739.3223";"3210.2969";"96794.54";"3078";"69099"
"43";"LaVerdure2K7";"426218";"151017";"127545";"156035";"7308480";"109395";"62078";"1.7622185";"0.20839985";"3448";"4401";"0.7834583";"3.4990969";"1231";"94789";"161737";"91961";"7795.4507";"4514.478";"174386.56";"7832";"68668"
"44";"PokeR988";"766329";"226492";"228546";"322810";"8270362";"213502";"51514";"4.144543";"0.22543004";"4696";"3602";"1.3037201";"5.5595803";"11634";"81368";"445145";"148584";"7467.854";"1927.9391";"218530.03";"10968";"68630"
"45";"keloack";"245762";"102214";"78924";"70263";"4553252";"64204";"36480";"1.759978";"0.20327237";"2071";"2670";"0.77565545";"3.238503";"301";"9721";"150192";"16540";"6320.936";"3760.7278";"59988.703";"2251";"66757"
"46";"Fergie01";"340120";"98199";"98653";"148609";"7561979";"88414";"41951";"2.107554";"0.21365422";"3107";"4013";"0.77423376";"2.6986587";"226";"37569";"138811";"95103";"7115.109";"2837.4402";"204372.73";"2190";"66221"
"47";"jetrotor";"687583";"242284";"213051";"244795";"9298226";"197266";"54919";"3.5919445";"0.18994981";"5701";"5014";"1.1370163";"4.436866";"11299";"42074";"418701";"143703";"11049.919";"4348.2734";"284383.38";"6446";"65360"
"48";"SHETTMAN";"966751";"304543";"87482";"584132";"24240226";"76433";"36920";"2.0702329";"0.25009078";"11443";"14147";"0.80886406";"2.3929257";"12021";"176708";"434926";"279975";"8192.799";"9967.366";"76167.22";"528";"62593"
"49";"StarrGazer";"317485";"127693";"66891";"127219";"5492445";"57716";"48399";"1.1925039";"0.18779735";"2716";"2614";"1.0390207";"3.468237";"851";"25277";"89913";"126620";"7469.0366";"12986.401";"50809.203";"12270";"62554"
"50";"lethal3d";"404792";"196992";"97392";"118404";"8327489";"82667";"74732";"1.1061794";"0.16941297";"2935";"5316";"0.55210686";"2.9165478";"225";"6221";"305135";"28081";"15955.835";"7475.895";"91407.87";"3430";"61700"
"51";"tybud";"436701";"174211";"115768";"155450";"6540052";"95284";"39060";"2.4394264";"0.26307058";"2917";"1874";"1.5565635";"4.006399";"8375";"30713";"245562";"69077";"7680.6636";"7814.3364";"115285.695";"21378";"61596"
"52";"shombol";"299509";"123919";"93903";"90012";"4566642";"79518";"26835";"2.9632196";"0.26799017";"2097";"2389";"0.8777731";"3.935176";"10215";"35812";"170916";"19813";"3341.9766";"1439.8";"128362.59";"2340";"60413"
"53";"Reeds_Wrath63";"781677";"235837";"44904";"516725";"18891715";"37824";"53399";"0.7083279";"0.14823204";"10552";"12773";"0.8261176";"2.4826024";"472";"14238";"459532";"246554";"10769.778";"10235.908";"50422.105";"1042";"59839"
"54";"MYSTAIN";"284428";"138001";"66792";"87611";"5655970";"55097";"43709";"1.2605413";"0.20686734";"2689";"2774";"0.9693583";"3.0172863";"1726";"6050";"171328";"36936";"7307.484";"6202.429";"63320.527";"9068";"59320"
"55";"UnoaleX";"650738";"264387";"174812";"223678";"9107137";"159688";"55040";"2.901308";"0.19684699";"3945";"4272";"0.92345506";"4.287218";"6525";"35995";"510379";"35291";"9478.203";"9203.692";"168129.55";"3282";"59266"
"56";"mikel69x";"1782481";"970713";"269111";"577706";"22500918";"250053";"157150";"1.591174";"0.17914224";"12336";"15463";"0.7977753";"4.7530885";"19857";"286287";"744933";"654118";"16645.816";"8885.527";"240939.38";"19366";"57920"
"57";"kellgy";"156032";"68623";"26727";"63740";"3636745";"20670";"42062";"0.49141744";"0.19000134";"1502";"2268";"0.6622575";"2.5742579";"494";"6233";"36096";"55945";"6881.3257";"6080.952";"29259.002";"369";"56895"
"58";"Tone-Capone";"405322";"175516";"110580";"131997";"7108685";"93818";"71611";"1.310106";"0.21113415";"3658";"3912";"0.9350716";"3.4210715";"16556";"30962";"256457";"40083";"11882.871";"7202.0977";"90469.25";"5709";"55555"
"59";"Dar-Dragon";"656017";"138596";"121092";"404641";"14624231";"108618";"47206";"2.3009362";"0.17041771";"7918";"9487";"0.83461577";"2.6914933";"2953";"55060";"309687";"229110";"7439.0586";"2388.8015";"140607.94";"3725";"55482"
"60";"Duffstuff";"392143";"189368";"92470";"130649";"8510457";"74927";"99661";"0.75181866";"0.2211368";"3027";"5476";"0.55277574";"2.764667";"2746";"10400";"290181";"30985";"12412.615";"16107.23";"63339.66";"4327";"53504"
"61";"SugaBee";"503733";"274751";"107389";"139159";"9029937";"89640";"101446";"0.8836228";"0.1627349";"4800";"5122";"0.9371339";"3.3470864";"3189";"18410";"191077";"235871";"15534.628";"7190.3975";"102807.516";"2557";"52629"
"62";"o_chogan_o";"430349";"408";"239";"429821";"21743033";"223";"1309";"0.17035905";"0.11015255";"8990";"15912";"0.5649824";"1.1875501";"0";"3907";"214012";"158971";"26.632975";"6.9295855";"1052.7864";"950";"52509"
"63";"Listof12";"246327";"83159";"74793";"97506";"6499944";"65350";"61618";"1.0605667";"0.19721717";"2108";"3823";"0.5513994";"2.2738073";"13089";"11001";"149813";"17017";"12627.056";"3658.499";"118260.82";"3692";"51715"
"64";"Cactuar23";"115619";"50250";"28719";"38101";"1508406";"24698";"9761";"2.5302734";"0.13925467";"758";"673";"1.1263001";"4.5989876";"167";"9530";"49461";"5376";"1368.359";"344.5289";"34537.906";"0";"51085"
"65";"taswat";"413200";"175614";"94962";"151988";"8098183";"82243";"69819";"1.1779459";"0.22186482";"3456";"4614";"0.7490247";"3.0614274";"2268";"39070";"225063";"92412";"11789.163";"12646.801";"66864.77";"4732";"49655"
