"RANK";"NAME";"PTS";"TS";"CS";"BS";"GT";"K";"D";"KDR";"GA";"W";"L";"WLR";"SPM";"DS";"TDS";"CTF";"ZS";"MW";"MD";"MF";"MRK";"COL"
"1";"Score";"17504139188203";"18680960245253";"18680960245253";"18680960245253";"20038071";"0";"0";"0.0";"0.0";"0";"0";"0.0";"5.2412644E7";"0";"4861902972280";"10269266788198";"695784700980";"0.12825993";"0.0";"0.0";"1677184726745";"0"
"2";"CARRAPATCHO";"434644926664";"433644676124";"432644314412";"431644380280";"7881083";"470745";"80813";"5.8251147";"0.20208468";"3575";"6450";"0.5542636";"3309024.2";"8729";"6200";"434644857070";"50234";"17243.092";"4150.166";"82278.57";"2452";"1979"
"3";"JustDontEvenTry";"102500003203";"3";"102500000010";"3190";"1016";"-579215094";"1";"-5.792151E8";"1.0";"110";"1";"110.0";"6.0531497E9";"0";"102500003190";"13";"0";"0.07016643";"0.0";"16.017391";"0";"0"
"4";"TheXtreemist";"-292057275870";"343597229269";"23622976274";"23622329886";"300019";"124";"22";"5.6363635";"0.19280837";"647";"490";"1.3204081";"-5.8407756E7";"1724";"604";"-292057278366";"4";"440.66574";"33.079216";"2094.213";"141";"23"
"5";"FaceToFace08";"-10867779410";"8442502769";"10754476109";"16390";"1170336";"-2086914802";"12220";"-170778.62";"0.17977615";"662";"763";"0.8676278";"-557162.06";"1106";"2000002460";"-12867788020";"4087";"1957.5303";"1003.55383";"12808.459";"450";"507"
"6";"Lemone_raupi";"20000000450";"10000000000";"10000000000";"450";"1350";"1410065408";"0";"1.41006541E9";"0.0";"11";"2";"5.5";"8.888889E8";"0";"0";"20000000450";"0";"1.0687977";"0.0";"0.0";"0";"0"
"7";"ShadowWalking-";"9199985147";"110001944";"9040000001";"50001205";"8290";"-1136237857";"1018";"-1116147.1";"0.9999621";"74";"3";"24.666666";"6.6586136E7";"2";"-1";"9199985146";"0";"7.0229115";"0.10269304";"102.25539";"0";"0"
"8";"Mr_Warhawk_99";"14000058967";"7000049125";"7000003402";"7660";"430676";"-1589931584";"-1999994882";"-1.58993152E9";"0.17694318";"305";"349";"0.8739255";"1950430.5";"166";"14000005353";"53228";"157";"745.70746";"590.0203";"1999.7341";"24";"39"
"9";"YourWelcomeMatey";"10200004602";"5100001198";"5100002678";"1230";"106914";"805035017";"-2009999112";"8.0503501E8";"0.21419689";"44";"147";"0.2993197";"5724229.5";"282";"10200000026";"3955";"46";"229.78304";"24.746933";"293.9111";"0";"293"
"10";"Cyberhawker";"12886180156";"7886078272";"5000101082";"972";"28795";"1705133645";"320";"5328543.0";"0.14631167";"24";"40";"0.6";"2.685087E7";"275457";"0";"12885904588";"7";"84.94028";"3.1916878";"292.00305";"104";"0"
"11";"YO_IM_TYRONE";"90301117679";"85301106499";"5000006802";"5903";"255180";"-1894959872";"100004345";"-18.948776";"0.20754212";"223";"242";"0.9214876";"2.1232334E7";"601";"87700826170";"2600290246";"254";"328.536";"39.021465";"4443.2275";"393";"15"
"12";"TeCHNiiCiAN";"4682288648";"11319743";"4670963546";"5683";"214700";"387320866";"1381";"280464.06";"1.4223493";"295";"178";"1.6573033";"1308511.0";"205";"66";"4682288173";"0";"276.06506";"143.91434";"5090.2305";"84";"120"
"13";"SkidPatrol";"8591387899";"8590034268";"4296219290";"4295069160";"412017";"621833";"1320";"471.0856";"0.18966268";"60";"169";"0.35502958";"1251121.2";"360";"101300016";"8490087412";"74";"239.23703";"4.837649";"66.85078";"27";"10"
"14";"ShadoHawk--";"5879245125";"6087339088";"4086777972";"95593";"59656";"688485";"598";"1151.3127";"0.12997839";"109";"63";"1.7301587";"5913147.5";"14";"1";"5879245055";"36";"92.09301";"4.797648";"882.2746";"0";"19"
"15";"sinner_reborn";"-6211785262";"3336560757";"3336555591";"291";"2406";"1709029755";"22";"7.7683168E7";"0.21583742";"7";"2";"3.5";"-1.5490736E8";"0";"0";"-6211785262";"0";"5.5212097";"0.0";"0.0";"0";"0"
"16";"HeX_0x00";"1002077842";"3149559173";"3148185243";"991";"110033";"956930123";"1535";"623407.25";"0.16468136";"54";"159";"0.33962265";"546424.0";"30";"1000700016";"1377690";"3";"265.9669";"5.839447";"313.06354";"103";"0"
"17";"Faze_GotYou-_-";"5000000248";"2000000005";"3000000076";"178";"7001";"-1294967230";"29";"-4.465404E7";"0.14882308";"5";"0";"5.0";"4.285102E7";"0";"5000000037";"211";"0";"17.437477";"0.89895046";"16.793095";"0";"0"
"18";"Patholololol";"2576981190";"1431655890";"2576980491";"653";"-286317015";"1986432610";"858994126";"2.3125103";"0.9999926";"26";"14";"1.8571428";"0.0";"0";"0";"2576981190";"0";"13.952278";"2.2887484E-28";"12.108629";"0";"0"
"19";"RUSHUM";"4305757141";"2305610218";"2000072712";"82657";"5544476";"1900068443";"-99943495";"1.90006848E9";"0.17655015";"1806";"3606";"0.50083196";"46595.105";"2701";"4404021302";"-98269540";"319";"8206.953";"1648.8895";"113619.336";"1825";"534"
"20";"KrAzYkAiTliN187";"5000078895";"3000027062";"2000029703";"24553";"1578240";"2000026874";"19176";"104298.44";"0.15084524";"526";"963";"0.54620975";"190088.16";"7073";"4000000873";"1000063787";"2184";"3527.0063";"539.7684";"21149.059";"1873";"3105"
"21";"bIxssthefall";"-294960367";"2000005100";"2000001063";"847";"76269";"1026";"422";"2.4312797";"0.16867658";"36";"91";"0.3956044";"-232042.12";"49";"63";"-294960479";"0";"70.65809";"1.8363085";"1681.9437";"0";"0"
"22";"davesaces";"3596716770";"1898673369";"1898022067";"-99965871";"1405033";"1898020663";"102028222";"18.602898";"0.20399363";"651";"1538";"0.423277";"153592.84";"2124";"1525";"3596707689";"3732";"2559.9238";"388.98477";"5616.336";"56";"1644"
"23";"uHoHBanGBanG";"3122441504874";"11089520298226";"1813139153";"7776458177335";"147811981";"14772";"4864";"3.0370066";"0.16927";"338";"1136";"0.2975352";"1267464.9";"4094";"13336802";"3122428163079";"11";"868.14154";"21.885397";"6400.558";"769";"119"
"24";"l2isC";"7410026908";"5410019132";"1800006021";"200002214";"98317";"1426005964";"471";"3027613.5";"0.9971641";"38";"84";"0.45238096";"4522123.5";"351";"0";"7410026557";"0";"142.44908";"22.158535";"1120.0554";"0";"0"
"25";"Dont4Get_iM2Good";"-894906954";"1700060137";"1700000093";"114";"5110";"86";"33";"2.6060605";"0.9994091";"6";"7";"0.85714287";"-1.0507714E7";"104";"5";"-894907063";"0";"8.06936";"1.0863191";"141.27364";"0";"0"
