"RANK";"NAME";"PTS";"TS";"CS";"BS";"GT";"K";"D";"KDR";"GA";"W";"L";"WLR";"SPM";"DS";"TDS";"CTF";"ZS";"MW";"MD";"MF";"MRK";"COL"
"1";"Score";"17504139188203";"18680960245253";"18680960245253";"18680960245253";"20038071";"0";"0";"0.0";"0.0";"0";"0";"0.0";"5.2412644E7";"0";"4861902972280";"10269266788198";"695784700980";"0.12825993";"0.0";"0.0";"1677184726745";"0"
"2";"uHoHBanGBanG";"3122441504874";"11089520298226";"1813139153";"7776458177335";"147811981";"14772";"4864";"3.0370066";"0.16927";"338";"1136";"0.2975352";"1267464.9";"4094";"13336802";"3122428163079";"11";"868.14154";"21.885397";"6400.558";"769";"119"
"3";"II-3nvyII";"1000727379968";"1000727379968";"0";"0";"115228";"0";"0";"0.0";"2.2143922";"1326";"205";"6.4682927";"5.21085536E8";"6246";"32988";"1000717340572";"10000126";"279.2591";"5.2464185";"808.60077";"22";"14"
"4";"Sheckless4";"983547510784";"983547510784";"-8589934592";"0";"2310";"0";"0";"0.0";"0.0";"257";"248";"1.0362903";"2.55466885E10";"0";"0";"983547510784";"0";"0.16070992";"0.0";"0.20785819";"0";"0"
"5";"CARRAPATCHO";"434644926664";"433644676124";"432644314412";"431644380280";"7881083";"470745";"80813";"5.8251147";"0.20208468";"3575";"6450";"0.5542636";"3309024.2";"8729";"6200";"434644857070";"50234";"17243.092";"4150.166";"82278.57";"2452";"1979"
"6";"xMiIIennium";"305482265715";"305482245101";"117921537";"501";"-269458644";"1118225489";"117901378";"9.484415";"0.9998689";"131";"142";"0.92253524";"0.0";"99";"0";"305482265616";"0";"47.806164";"0.050484367";"59.087265";"0";"0"
"7";"CARRAPOTATO";"284522117279";"244111473961";"-454388503715";"-454388613271";"44823";"122583";"12219";"10.032163";"0.8942665";"1393";"270";"5.1592593";"3.80860896E8";"115";"0";"284522117159";"5";"76.61761";"6.376803";"457.49826";"0";"0"
"8";"GottaLottaGame";"139000000931";"139000000118";"243";"578";"2780871";"231";"80";"2.8875";"0.16179933";"8";"26";"0.30769232";"2999060.2";"14";"89";"139000000828";"0";"25.77438";"1.2180494";"171.163";"0";"0"
"9";"AncientOracIe";"121619444369";"173912769355";"-5053691160";"7032";"171450";"100269144";"458";"218928.27";"0.1942334";"600";"180";"3.3333333";"4.2561488E7";"1181046";"752";"121618261871";"599";"473.10367";"20.42424";"725.4926";"0";"101"
"10";"lI-speedracer-lI";"95871127180";"95871110875";"8825";"8263";"664953";"243472337";"15493982";"15.713994";"0.16371572";"203";"401";"0.5062344";"8650638.0";"1000000555";"20";"40438538322";"137";"692.22107";"132.60988";"6712.726";"0";"54432588146"
"11";"NiiGhTMaR3Xx";"30705120724";"30705071123";"28823";"24375";"2084292";"27728";"12161";"2.2800756";"0.17702112";"696";"2733";"0.2546652";"883900.75";"3605";"2284";"30705112280";"1341";"2148.584";"295.9279";"48469.176";"899";"315"
"12";"xtreem13";"22601023511";"22600343908";"144267";"560756";"12050894";"130859";"72684";"1.8003825";"0.24330518";"12441";"5954";"2.0895197";"112527.87";"10970";"30508";"22600501645";"444635";"Infinity";"2522.5483";"49294.508";"29055";"6698"
"13";"RaptorsBreakz";"21782450420";"21780253659";"2191522";"5332";"417338";"346200";"29319";"11.808043";"0.10514098";"145";"351";"0.4131054";"3131627.2";"381";"12";"21782449816";"59";"130.98795";"13.951132";"2717.1997";"91";"61"
"14";"Lemone_raupi";"20000000450";"10000000000";"10000000000";"450";"1350";"1410065408";"0";"1.41006541E9";"0.0";"11";"2";"5.5";"8.888889E8";"0";"0";"20000000450";"0";"1.0687977";"0.0";"0.0";"0";"0"
"15";"vNiGhTMaR5Z_";"16792916367";"16791634149";"1272027";"10424";"739258";"19704";"14021";"1.4053206";"0.12959625";"369";"588";"0.627551";"1362954.4";"828417123";"77";"15964498879";"91";"336.7742";"52.605373";"6552.957";"143";"54"
"16";"Dangerous-300";"14000896222";"14000828996";"77022";"2360";"73829";"76992";"13348";"5.768055";"0.17964056";"267";"50";"5.34";"1.1378372E7";"14";"0";"14000895708";"460";"81.7753";"4.8302736";"327.3345";"0";"40"
"17";"Papito8143";"12977862272";"12977146013";"83836";"648187";"51669353";"67988";"67533";"1.0067375";"0.18288067";"14437";"26346";"0.5479769";"15070.283";"966";"21890";"12977712071";"98723";"23473.281";"3866.8333";"46032.406";"5037";"23585"
