"RANK";"NAME";"PTS";"TS";"CS";"BS";"GT";"K";"D";"KDR";"GA";"W";"L";"WLR";"SPM";"DS";"TDS";"CTF";"ZS";"MW";"MD";"MF";"MRK";"COL"
"1";"sergio_kuart";"6055164524";"12346611820";"-1996708105";"255163";"10001321";"-1996714534";"2000109002";"-0.9983028";"0.19116762";"4486";"6121";"0.7328868";"36326.188";"22321";"-1243813210";"7298921723";"12083";"16412.365";"2538.9133";"172784.02";"14504";"7103"
"2";"conorf2000";"701308447";"1801197306";"-1099944237";"76419";"4194881";"-99947702";"2000039900";"-0.049972855";"0.21160053";"2083";"3779";"0.551204";"10030.918";"6653";"75130";"701203505";"13245";"6954.0537";"3070.6753";"30473.17";"7913";"2001"
"3";"ViljaVghostV";"-1999711201";"-999853059";"-999947250";"95087";"3329358";"-999950133";"2000027271";"-0.49996826";"0.20551044";"1920";"1410";"1.3617021";"-36037.78";"23146";"-3999999251";"2000240974";"13242";"4860.3184";"2658.315";"68359.61";"758";"9930"
"4";"Buckets3";"-3999179434";"-1999723732";"-1999770051";"333198";"9402314";"-1999786494";"2000026606";"-0.99987996";"0.25662664";"6930";"2201";"3.1485689";"-25520.395";"13896";"68224";"-3999361894";"38385";"14458.489";"4370.178";"183739.16";"35610";"26345"
"5";"RAPTOR_ASS9";"335384";"2000299002";"-1999980157";"18452";"1444620";"-1009980916";"2000012174";"-0.5049874";"0.08991339";"401";"1256";"0.3192675";"13.929643";"3747";"324";"330871";"193";"1314.552";"336.1854";"48656.68";"211";"38"
"6";"deciever444";"1000102213";"1000100333";"1210";"706";"49058";"-1999998837";"2000000334";"-0.9999992";"0.99567723";"12";"58";"0.20689656";"1223167.1";"0";"-1999999988";"3000102186";"3";"87.26821";"5.690656";"1046.6687";"0";"12"
"7";"RAiNiN_HELL_ON_U";"-499748007";"-199956788";"-99880017";"-99881479";"4821391";"-99887047";"1805101028";"-0.055335987";"0.13512981";"1384";"4481";"0.30885962";"-6219.135";"-99964744";"2790";"-399786461";"177";"3228.702";"895.3798";"132247.94";"199";"32"
"8";"LegendDesi";"2305016902";"1269190629";"-74377831";"1200237971";"4951371";"-996327338";"1805092829";"-0.5519535";"0.8423853";"2562";"3942";"0.6499239";"27931.861";"38522";"-1999973179";"4304941693";"1502";"7150.9688";"993.22546";"59625.09";"8058";"306"
"9";"Desigodfather";"-7099600441";"-1299824916";"-5399874073";"137332";"6220023";"895088148";"1705105966";"0.52494574";"0.78001714";"3086";"4473";"0.68991727";"-68484.64";"23515";"11568";"-7099654012";"10037";"11628.283";"1333.1218";"57623.52";"7675";"776"
"10";"AdamVuNoahchi";"-1999698876";"-699912707";"-1099887992";"-99889252";"2723566";"-1099898037";"1100025377";"-0.99988425";"0.20617558";"1091";"2267";"0.48125276";"-44053.25";"5894";"-2399873445";"162673";"400002868";"3520.6665";"1821.7051";"49102.105";"41";"3093"
"11";"notorious155";"-2495470057";"1399402371";"600048694";"-99951035";"2147342";"-899982670";"1100011290";"-0.8181577";"0.13015135";"813";"2021";"0.4022761";"-69727.23";"1321";"476";"-2495473778";"430";"1540.8745";"139.64728";"75822.1";"664";"830"
"12";"tee1530";"-1999699702";"-1000213973";"-999745632";"315928";"13833876";"-999699848";"1010391419";"-0.9894184";"0.6944014";"6254";"9582";"0.6526821";"-8673.057";"137838";"6024";"-1999852887";"3657";"34220.31";"1101.0256";"69956.03";"3727";"1939"
"13";"garwar";"-2998609072";"-999460211";"-999602523";"508601";"25983378";"-999637374";"1000373014";"-0.99926466";"0.15400057";"10015";"13818";"0.72477925";"-6924.294";"80828";"73128";"-2998970338";"138778";"49366.215";"21160.756";"285578.0";"21056";"47476"
"14";"djdnjuan";"-1999961541";"-1000338094";"-999823403";"216629";"14231162";"-999841569";"1000208885";"-0.9996328";"0.16591361";"3703";"4803";"0.7709765";"-8432.038";"5804";"2049";"-1999974895";"2741";"22757.44";"14222.267";"165082.83";"2092";"668"
"15";"whatupdoggie";"-1999985075";"-1000123270";"-999926839";"84339";"12708041";"-999935062";"1000205723";"-0.9997294";"0.11287073";"2480";"8380";"0.29594272";"-9442.77";"1407";"3612";"-1999989018";"31000";"18271.492";"14086.354";"128242.59";"2344";"1444"
