"RANK";"NAME";"PTS";"TS";"CS";"BS";"GT";"K";"D";"KDR";"GA";"W";"L";"WLR";"SPM";"DS";"TDS";"CTF";"ZS";"MW";"MD";"MF";"MRK";"COL"
"1";"Outcast26";"2000137495";"2000060844";"31609";"53195";"4883487";"27632";"50597";"0.54611933";"0.2049949";"1567";"4147";"0.37786353";"24574.293";"2000002051";"8606";"105628";"18008";"6873.6797";"6512.5977";"8605.315";"1369";"1833"
"2";"WarOracIe-";"2100264317";"2100257669";"4083";"3183";"155859";"420423865";"-420419320";"4.20423872E8";"0.16722128";"163";"173";"0.94219655";"808524.8";"2000000421";"442";"100263271";"0";"194.46033";"7.53101";"2047.8948";"55";"128"
"3";"GodsDemo";"59118312";"58118313";"1000000";"0";"680754";"10400";"4422";"2.351877";"0.22078052";"339";"473";"0.7167019";"5210.544";"1500001505";"-699015014";"-741869465";"241";"1010.1212";"72.7289";"3119.2427";"54";"991"
"4";"lI-speedracer-lI";"95871127180";"95871110875";"8825";"8263";"664953";"243472337";"15493982";"15.713994";"0.16371572";"203";"401";"0.5062344";"8650638.0";"1000000555";"20";"40438538322";"137";"692.22107";"132.60988";"6712.726";"0";"54432588146"
"5";"tom1955";"1000086389";"1000029358";"11668";"48364";"5001371";"9483";"36414";"0.2604218";"0.09336141";"1491";"2945";"0.50628185";"11997.747";"1000000325";"383";"83314";"1357";"8769.911";"1807.4517";"6098.459";"510";"500"
"6";"Rektitude";"1000000311";"1000000108";"117";"93";"9951";"112";"78";"1.4358975";"0.22394715";"2";"7";"0.2857143";"6029546.5";"1000000065";"0";"246";"0";"10.679413";"6.050031";"87.84027";"0";"0"
"7";"vNiGhTMaR5Z_";"16792916367";"16791634149";"1272027";"10424";"739258";"19704";"14021";"1.4053206";"0.12959625";"369";"588";"0.627551";"1362954.4";"828417123";"77";"15964498879";"91";"336.7742";"52.605373";"6552.957";"143";"54"
"8";"MR-FERREAL";"602000020";"602000011";"11";"0";"2323";"4400010";"137639";"31.967756";"0.17793594";"6";"3";"2.0";"1.5548859E7";"602000018";"0";"2";"0";"5.722288";"0.6491407";"2.1771343";"0";"0"
"9";"Joshua1337x";"12922374652";"11894862425";"1027510963";"1439";"53076";"511871364";"3167439";"161.60417";"0.09645582";"50";"43";"1.1627907";"1.4608156E7";"410000213";"11359634415";"1152739999";"15";"115.60456";"21.451094";"865.26385";"10";"0"
"10";"AbortionBabies";"317068717";"306835769";"10230447";"2772";"107229";"15616676";"666";"23448.463";"0.17899959";"134";"133";"1.0075188";"177415.83";"317058882";"0";"9765";"0";"200.27628";"2.2315547";"1104.2179";"70";"0"
"11";"killaboi_1";"179171253";"132752";"178995066";"61610";"2955496";"178994031";"30897";"5793.2495";"0.1988245";"1619";"2796";"0.5790415";"3637.3845";"178964174";"24137";"166057";"13000";"5037.241";"773.4942";"15318.011";"740";"3145"
"12";"JaMCiTyMoDz-";"84504800";"83372561";"1131658";"705";"28300";"67576986";"272";"248444.8";"0.16009222";"24";"31";"0.7741935";"179162.12";"10000085";"50575049";"13373202";"10000094";"51.923485";"4.163283";"337.04175";"556370";"0"
"13";"yooper12345";"1103112439";"1103067112";"33995";"15954";"2118676";"31469";"27959";"1.125541";"0.2104025";"757";"3342";"0.22651108";"31239.674";"3032974";"777";"1100072401";"887";"4783.35";"809.72485";"13469.592";"4369";"1031"
"14";"AlmightyCatz";"6002803300";"6000007474";"2788861";"7400";"308544";"504086";"2151";"234.34961";"0.21448371";"240";"144";"1.6666666";"1167315.5";"2785136";"171";"6000017886";"0";"521.46735";"36.839058";"2701.4355";"107";"0"
"15";"AncientOracIe";"121619444369";"173912769355";"-5053691160";"7032";"171450";"100269144";"458";"218928.27";"0.1942334";"600";"180";"3.3333333";"4.2561488E7";"1181046";"752";"121618261871";"599";"473.10367";"20.42424";"725.4926";"0";"101"
"16";"Ragoi";"6302099427";"6302075530";"12054";"14648";"862546";"-1294655619";"10680";"-121222.44";"0.18167451";"534";"1130";"0.47256637";"438383.53";"1003915";"2000001833";"4301092410";"336";"1969.7422";"254.7909";"7329.42";"445";"488"
"17";"YourUnknown-";"-2499357458";"-2501808104";"2450452";"210";"126344";"1794687153";"-1792608855";"1.7946871E9";"0.15436748";"17";"41";"0.41463414";"-1186929.6";"913852";"0";"-2500271312";"2";"21.584398";"3.4394221";"192.96912";"0";"0"
"18";"A555d2";"1712362";"1668801";"20098";"23549";"504301";"20042";"673";"29.780088";"0.79813343";"594";"162";"3.6666667";"203.73094";"830514";"32172";"841888";"7640";"419.18454";"231.70975";"1718.9696";"0";"148"
"19";"zv_nik";"2001732227";"2001104875";"623869";"3791";"373852";"4241";"2957";"1.4342239";"0.22221385";"200";"662";"0.3021148";"321260.62";"826027";"792";"2000629724";"275048";"520.41736";"18.05885";"1686.6675";"121";"515"
"20";"sharknado55000";"556469";"553602";"1849";"1244";"156053";"1730";"2945";"0.5874363";"0.23442927";"57";"268";"0.21268657";"213.95386";"550456";"134";"5385";"156";"441.74802";"30.861065";"264.89026";"171";"167"
"21";"grubs87jp";"654614";"596012";"33388";"32327";"3500232";"27662";"42948";"0.64408123";"0.17239024";"770";"2108";"0.36527514";"11.2212105";"550150";"1031";"98755";"4362";"5274.4624";"3558.5134";"29815.967";"106";"210"
"22";"DoqFiighter";"857802";"856395";"494";"937";"6261680";"469";"111";"4.2252254";"0.26473582";"10";"22";"0.45454547";"8.219539";"550004";"191";"307599";"8";"20.753927";"8.227007";"546.0122";"0";"0"
"23";"CissaNO";"561838";"990213834";"341524";"7497";"156106";"361295";"1162";"310.92514";"0.3927296";"336";"16";"21.0";"215.94481";"300345";"376550";"-989978612";"989863555";"88.35006";"3.33982";"293.2006";"0";"0"
"24";"KRVZYG3N3RVL";"-1992098988";"-992310518";"-999925000";"155499";"7184565";"-999928324";"1000059145";"-0.99986917";"0.18508841";"3199";"6261";"0.51094073";"-16636.488";"285785";"5861";"-1992449418";"51713";"7858.6787";"1902.2095";"59278.703";"4768";"2303"
"25";"TAZZ5425";"1023473";"919883";"56096";"59703";"3512318";"53326";"34042";"1.5664767";"0.19521059";"1390";"2525";"0.550495";"17.483719";"283320";"8899";"723178";"4248";"5727.9062";"1102.7861";"66265.58";"2824";"1004"
"26";"NoMurC";"847072";"786134";"40815";"23594";"1756353";"47944";"8315";"5.765965";"0.9628271";"587";"1824";"0.32182017";"28.937416";"279784";"312";"564709";"240";"2601.69";"26.676783";"19502.428";"1781";"246"
"27";"l-KiNG-KEBAP96-I";"300735";"286063";"4058";"11192";"522365";"3809";"1149";"3.3150566";"0.16435766";"418";"177";"2.3615818";"34.54309";"275656";"127";"17987";"6215";"317.53644";"93.96192";"2452.6604";"29";"721"
"28";"SolarSuperCloak-";"585124";"556645";"16001";"13381";"1715967";"15634";"7128";"2.1933222";"0.09628127";"298";"1509";"0.19748178";"20.459274";"275612";"438";"306708";"2168";"584.1158";"140.70015";"55044.43";"198";"0"
"29";"Cyberhawker";"12886180156";"7886078272";"5000101082";"972";"28795";"1705133645";"320";"5328543.0";"0.14631167";"24";"40";"0.6";"2.685087E7";"275457";"0";"12885904588";"7";"84.94028";"3.1916878";"292.00305";"104";"0"
