"RANK";"NAME";"PTS";"TS";"CS";"BS";"GT";"K";"D";"KDR";"GA";"W";"L";"WLR";"SPM";"DS";"TDS";"CTF";"ZS";"MW";"MD";"MF";"MRK";"COL"
"1";"Score";"17504139188203";"18680960245253";"18680960245253";"18680960245253";"20038071";"0";"0";"0.0";"0.0";"0";"0";"0.0";"5.2412644E7";"0";"4861902972280";"10269266788198";"695784700980";"0.12825993";"0.0";"0.0";"1677184726745";"0"
"2";"xLegendSura_";"9000811808";"9000806856";"1752";"3560";"74224";"9015175";"591";"15254.104";"0.297135";"405";"89";"4.550562";"7275931.0";"32";"990000093";"-999189564";"1000000663";"118.32196";"10.51363";"436.97357";"8010000383";"201"
"3";"JaMCiTyMoDz-";"84504800";"83372561";"1131658";"705";"28300";"67576986";"272";"248444.8";"0.16009222";"24";"31";"0.7741935";"179162.12";"10000085";"50575049";"13373202";"10000094";"51.923485";"4.163283";"337.04175";"556370";"0"
"4";"LegendSura";"1935712";"1927206";"4845";"4063";"1160561";"4446";"1590";"2.7962265";"0.29740453";"419";"158";"2.6518986";"100.07464";"641";"51";"1382707";"1036";"272.07513";"42.561092";"1459.2662";"550861";"416"
"5";"SILENT-DEAD";"279961";"125212";"51223";"107131";"4085053";"38126";"27875";"1.3677489";"0.14418557";"2345";"2533";"0.9257797";"4.111981";"135";"13143";"67394";"48918";"5455.5933";"1803.2388";"70315.984";"137920";"12451"
"6";"tryfyn";"919690";"172457";"196599";"558425";"17607579";"142905";"20697";"6.904624";"0.34729278";"10887";"10377";"1.0491471";"3.1339571";"8539";"107546";"456428";"182485";"3890.211";"1142.4155";"87641.2";"128400";"36292"
"7";"kenneth1j";"1003062535";"1001565420";"928367";"604242";"23985659";"892854";"210849";"4.2345657";"0.21952285";"10395";"10462";"0.9935959";"2509.1555";"118926";"34424";"1002713534";"40316";"45121.86";"16650.502";"125596.98";"116895";"38440"
"8";"War_Tiger";"366356";"156160";"88017";"125354";"3483553";"74657";"28846";"2.588123";"0.23878965";"2714";"1719";"1.5788249";"6.3100405";"4131";"6482";"21778";"220572";"6588.628";"1026.3776";"41283.383";"113174";"219"
"9";"thekingofmk7";"302347";"144632";"73657";"91478";"3735857";"61077";"39792";"1.5349065";"0.18657744";"2217";"3026";"0.73265034";"4.8558655";"1286";"24298";"105717";"58573";"5577.8003";"1785.5673";"52789.004";"98502";"13971"
"10";"Omen_Warrior";"314765";"118587";"101102";"99185";"2806144";"87498";"32279";"2.7106788";"0.27561748";"1860";"1624";"1.1453202";"6.7301965";"37238";"22344";"135415";"27596";"6305.4077";"2053.0735";"24794.19";"84644";"7528"
"11";"Iron_man911";"324964";"65407";"91964";"181351";"3682804";"81538";"24827";"3.284247";"0.29696286";"2961";"719";"4.11822";"5.294292";"11466";"41465";"175173";"20784";"4994.759";"970.6609";"88236.98";"74338";"1738"
"12";"biggangsta618";"326048";"143222";"54060";"131534";"3438962";"39527";"6937";"5.697996";"0.31148043";"2245";"1355";"1.6568266";"5.6886";"3277";"5329";"243983";"3552";"2587.582";"1429.346";"20898.701";"69684";"223"
