"RANK";"NAME";"PTS";"TS";"CS";"BS";"GT";"K";"D";"KDR";"GA";"W";"L";"WLR";"SPM";"DS";"TDS";"CTF";"ZS";"MW";"MD";"MF";"MRK";"COL"
"1";"RUSHUM";"4305757141";"2305610218";"2000072712";"82657";"5544476";"1900068443";"-99943495";"1.90006848E9";"0.17655015";"1806";"3606";"0.50083196";"46595.105";"2701";"4404021302";"-98269540";"319";"8206.953";"1648.8895";"113619.336";"1825";"534"
"2";"YourUnknown-";"-2499357458";"-2501808104";"2450452";"210";"126344";"1794687153";"-1792608855";"1.7946871E9";"0.15436748";"17";"41";"0.41463414";"-1186929.6";"913852";"0";"-2500271312";"2";"21.584398";"3.4394221";"192.96912";"0";"0"
"3";"Lemone_raupi";"20000000450";"10000000000";"10000000000";"450";"1350";"1410065408";"0";"1.41006541E9";"0.0";"11";"2";"5.5";"8.888889E8";"0";"0";"20000000450";"0";"1.0687977";"0.0";"0.0";"0";"0"
"4";"STUNT_CANT_RIFLE";"1300000059";"27";"1300000000";"32";"139";"1300000000";"0";"1.3E9";"0.88372093";"1";"1";"1.0";"5.611511E8";"0";"0";"1300000059";"0";"0.09162334";"0.0";"1.2245232";"0";"0"
"5";"TryAndPassMeNoob";"1300000024";"0";"1300000000";"24";"156";"1300000000";"0";"1.3E9";"0.8666667";"1";"1";"1.0";"5.00000032E8";"0";"1300000024";"0";"0";"0.25743422";"0.0";"0.0";"0";"0"
"6";"zverev-nikita";"360472698";"-5184572153";"-6139897944";"-1099952773";"3432563";"1241046857";"-239936129";"1.24104691E9";"0.20951402";"1336";"5769";"0.2315826";"6300.937";"-4983321";"2702";"365433826";"9401";"5621.4365";"1046.3702";"23000.068";"1525";"8565"
"7";"iNfiNiTi320";"-2294114482";"1000469372";"1000372978";"74405";"15020630";"1000253108";"-999938283";"1.00025312E9";"0.20036206";"7010";"11510";"0.6090356";"-9163.855";"18438";"398469932";"-2692638289";"22752";"32278.213";"2817.0605";"158493.81";"5034";"7651"
"8";"YourWelcomeMatey";"10200004602";"5100001198";"5100002678";"1230";"106914";"805035017";"-2009999112";"8.0503501E8";"0.21419689";"44";"147";"0.2993197";"5724229.5";"282";"10200000026";"3955";"46";"229.78304";"24.746933";"293.9111";"0";"293"
"9";"WarOracIe-";"2100264317";"2100257669";"4083";"3183";"155859";"420423865";"-420419320";"4.20423872E8";"0.16722128";"163";"173";"0.94219655";"808524.8";"2000000421";"442";"100263271";"0";"194.46033";"7.53101";"2047.8948";"55";"128"
"10";"THaTOnE-_-LEGaCY";"-2099655835";"899945005";"-2999631952";"35438";"2600717";"295740763";"-1294943691";"2.95740768E8";"0.8066978";"917";"2431";"0.37721103";"-48440.234";"-999682766";"4200";"-1099985142";"767";"5302.9287";"360.15707";"42128.05";"5986";"1120"
"11";"killa9409";"402128351";"202052208";"200038105";"44979";"1998298";"200036488";"-19970925";"2.0003648E8";"0.2580474";"965";"1661";"0.5809753";"12074.126";"11507";"400013685";"2099617";"1263";"5595.148";"578.28326";"7004.978";"985";"1294"
