"RANK";"NAME";"PTS";"TS";"CS";"BS";"GT";"K";"D";"KDR";"GA";"W";"L";"WLR";"SPM";"DS";"TDS";"CTF";"ZS";"MW";"MD";"MF";"MRK";"COL"
"1";"xJollyJumperx";"3264208";"165499";"52939";"3054822";"119953237";"46886";"29718";"1.577697";"0.18847847";"61942";"85473";"0.7246967";"1.6327403";"27";"52022";"1362843";"1639676";"6650.352";"4122.811";"129606.73";"852";"208788"
"2";"steedleyleo";"1663934";"180425";"127865";"1389434";"145664975";"110841";"189083";"0.58620286";"0.16578913";"28019";"59753";"0.4689137";"0.68538123";"1143";"1747";"1659575";"1033";"19899.248";"22619.795";"167687.78";"118";"318"
"3";"xxLuckyLukexx";"3002040";"780178";"196106";"2052245";"67057660";"178898";"85672";"2.0881734";"0.17810413";"38694";"47573";"0.8133605";"2.6860826";"5172";"23962";"1287856";"1519196";"25820.314";"15703.549";"428875.53";"1623";"164231"
"4";"SamuraiJim";"2178392";"416514";"171873";"1636442";"64275444";"162449";"135307";"1.2005957";"0.18270475";"32658";"44041";"0.7415363";"2.033491";"32249";"66273";"1224968";"693012";"18633.834";"6089.373";"244723.83";"7612";"154278"
"5";"aris79";"2947501";"628713";"272136";"2085148";"64124864";"247944";"117408";"2.1118152";"0.17392114";"38439";"42565";"0.9030659";"2.7579014";"10392";"52711";"1270089";"1473434";"19279.564";"7051.304";"510415.38";"7912";"132963"
"6";"Pat8143";"906326";"91798";"21903";"794993";"74199194";"18241";"12270";"1.486634";"0.19547674";"16965";"35201";"0.48194653";"0.73288614";"383";"40406";"775786";"70024";"5193.261";"1204.492";"12883.876";"234";"19493"
"7";"MrLuici";"855066";"47578";"1538";"807591";"58724450";"1139";"621172";"0.0018336306";"0.22403713";"17024";"33506";"0.5080881";"0.87363887";"607";"3599";"539955";"210921";"183.458";"176.65504";"1500.5376";"300";"99684"
"8";"MrThomaMi";"753606";"35623";"918";"718509";"68947472";"681";"586138";"0.0011618425";"0.19776145";"15648";"32965";"0.47468528";"0.6558088";"384";"875";"522482";"132367";"151.31877";"73.17253";"1253.8531";"650";"96848"
"9";"MrTamco";"889790";"71630";"695";"818557";"37707454";"511";"512597";"9.968845E-4";"0.12107939";"16822";"27117";"0.6203489";"1.4158313";"370";"22923";"399735";"366912";"118.46391";"85.22751";"1274.9751";"250";"99600"
"10";"No-Fear-One";"1001721599";"1000967591";"586358";"168261";"54081753";"316819";"30547";"10.371526";"0.17350389";"15960";"27071";"0.5895608";"1111.3414";"107";"6445";"1001525549";"154701";"11933.134";"1735.8422";"29849.336";"157";"34640"
"11";"Rantanplany";"832849";"32910";"12320";"789042";"36722113";"11549";"3931";"2.9379294";"0.30127996";"16585";"26535";"0.62502354";"1.3607861";"6359";"7668";"405566";"332505";"1027.0581";"981.14886";"22868.75";"350";"80401"
"12";"Papito8143";"12977862222";"12977146013";"83836";"648137";"51666119";"67988";"67533";"1.0067375";"0.18288067";"14436";"26345";"0.54795974";"15071.226";"966";"21890";"12977712021";"98723";"23473.281";"3866.8333";"46032.406";"5037";"23585"
"13";"MrLoserx";"898487";"63745";"724";"834926";"36405165";"520";"554938";"9.370416E-4";"0.020544302";"17237";"25316";"0.68087375";"1.4808124";"138";"30166";"428793";"338508";"182.11002";"77.73319";"1161.7124";"50";"100832"
"14";"vxRRR";"1013728";"229041";"109920";"695244";"26435591";"92222";"86759";"1.0629675";"0.12676512";"14865";"21703";"0.68492836";"2.3008254";"3936";"24641";"269283";"700580";"23244.518";"4200.7163";"177494.72";"2378";"12910"
"15";"nitto420s";"804057";"148528";"125107";"551771";"47198969";"102038";"97684";"1.0445724";"0.20246997";"10538";"21688";"0.4858908";"1.0221287";"16703";"30487";"719128";"2670";"22002.19";"16078.323";"170553.42";"35017";"52"
"16";"BECKHAM--ALI";"7527781";"5804133";"390970";"1408193";"34639680";"355655";"231166";"1.5385264";"0.22040258";"38563";"21567";"1.7880558";"13.039002";"7032";"8547";"7493092";"16626";"60889.023";"24238.092";"159037.45";"1576";"908"
"17";"wexefx";"642945";"277603";"176550";"232940";"17459512";"167992";"135087";"1.2435838";"0.11252852";"6552";"20997";"0.3120446";"2.2094946";"30182";"16062";"546561";"28628";"17795.828";"3746.335";"241976.12";"6747";"14765"
"18";"Hynek-Praha";"2223493";"684598";"502638";"1111072";"40184457";"437259";"350376";"1.2479707";"0.201931";"17952";"19338";"0.9283276";"3.3199298";"93324";"112686";"1860797";"105883";"39995.844";"31771.906";"414887.4";"8616";"42187"
"19";"NAVARRO_LPA";"1265185";"351990";"105482";"827245";"27830950";"95405";"56982";"1.6743007";"0.18052454";"15804";"19239";"0.82145643";"2.7275786";"5230";"33139";"611968";"532843";"15609.128";"3544.1724";"246868.7";"1278";"80727"
"20";"p1tst0p";"1523040";"651544";"326943";"589624";"33884739";"280645";"387699";"0.72387344";"0.14806859";"13387";"18503";"0.7235043";"2.6968598";"28750";"123833";"984103";"279167";"65393.414";"36899.16";"306425.5";"21509";"85678"
"21";"aris79i";"74113";"21949";"1683";"54125";"11181885";"1388";"120770";"0.01149292";"0.015285067";"2544";"18099";"0.14056025";"0.39767712";"16";"912";"42197";"28171";"447.09622";"51.358997";"3241.8003";"2817";"0"
