"RANK";"NAME";"PTS";"TS";"CS";"BS";"GT";"K";"D";"KDR";"GA";"W";"L";"WLR";"SPM";"DS";"TDS";"CTF";"ZS";"MW";"MD";"MF";"MRK";"COL"
"1";"Yasuhiro17";"33787";"18527";"10068";"7554";"815663";"9179";"10277";"0.8931595";"0.24628262";"384";"504";"0.7619048";"2.4853647";"1297";"2027";"26639";"2780";"1660.1217";"9.7641697E9";"6627.461";"460";"584"
"2";"TATSUYA2007";"294688";"141281";"61494";"107665";"5072865";"55057";"69220";"0.7953915";"0.26550338";"2889";"3200";"0.9028125";"3.4854624";"3598";"5564";"201287";"77257";"11381.12";"4.81044E8";"23262.85";"2963";"4019"
"3";"SIMO_RUSSO27";"58372";"29610";"12889";"18068";"1450380";"10665";"22560";"0.47273937";"0.19802374";"602";"1502";"0.40079895";"2.4147604";"382";"3396";"22230";"25179";"2334.9084";"3.69882208E8";"4957.823";"551";"6634"
"4";"siggen2000";"42997";"17333";"10428";"17744";"1678517";"8554";"16058";"0.532694";"0.1476876";"542";"1274";"0.4254317";"1.5369639";"291";"2679";"19137";"14686";"2667.8462";"3.69881504E8";"4183.529";"1141";"5063"
"5";"anidais";"410930";"150195";"116533";"156703";"5612854";"107270";"57554";"1.8638148";"0.18977198";"2731";"3251";"0.8400492";"4.3927383";"10608";"22105";"229860";"125983";"9123.314";"1.5291296E7";"113108.086";"5632";"16742"
"6";"Laff2007";"37599";"21649";"10401";"7041";"933119";"8646";"9056";"0.95472616";"0.24797967";"349";"720";"0.48472223";"2.4176338";"321";"1924";"30755";"4136";"1841.793";"1.307993E7";"747.0187";"292";"171"
"7";"NL-3rR0r-NL";"7854";"4765";"2364";"1200";"187262";"2118";"1639";"1.2922513";"0.17791776";"91";"120";"0.7583333";"2.5164742";"752";"752";"5413";"937";"213.70064";"1.3079249E7";"1519.1504";"0";"0"
"8";"jin77778";"22877";"17669";"6270";"4139";"847011";"5360";"7353";"0.7289542";"0.13687469";"327";"940";"0.34787235";"1.6205457";"174";"1553";"16414";"4623";"1378.6525";"1.1314236E7";"7765.6";"57";"56"
"9";"ROLL076";"90207";"53341";"19482";"19315";"1846198";"16073";"14933";"1.076341";"0.1638192";"852";"927";"0.91909385";"2.9316573";"72";"2528";"55803";"29323";"2517.756";"7671626.5";"8577.526";"1416";"1065"
"10";"ukc723";"100";"98";"19";"0";"10734";"19";"133";"0.14285715";"0.11211664";"5";"8";"0.625";"0.5589715";"0";"0";"78";"22";"19.91879";"6891455.5";"67.72244";"0";"0"
"11";"rapuka";"11227";"7532";"3314";"1239";"434169";"2701";"2522";"1.0709754";"0.22604899";"226";"256";"0.8828125";"1.5515157";"65";"1029";"7214";"2906";"980.608";"6411721.0";"1404.5945";"13";"0"
"12";"naminoribito0806";"127492";"60956";"35681";"35873";"3377501";"30563";"29268";"1.0442463";"0.2065907";"1463";"2415";"0.6057971";"2.264846";"3532";"10548";"65757";"34452";"5922.762";"6292126.5";"20940.217";"3638";"9565"
"13";"q3y6";"61419";"34281";"16074";"13243";"1796408";"13150";"17105";"0.76878107";"0.20148662";"662";"972";"0.68106997";"2.0513937";"93";"1206";"53347";"5751";"3277.3198";"2382141.8";"5851.3916";"366";"656"
"14";"BATTLEAXE09";"10960";"2862";"2426";"6328";"615698";"2019";"4420";"0.45678732";"0.12454116";"182";"412";"0.44174758";"1.068056";"81";"1495";"5731";"2734";"998.03973";"999844.3";"1376.668";"595";"324"
"15";"FredrikE";"917";"709";"212";"95";"75040";"187";"640";"0.2921875";"0.114901364";"35";"65";"0.53846157";"0.73320895";"0";"66";"401";"450";"119.160484";"621769.5";"159.99918";"0";"0"
"16";"ic00tope";"436";"316";"104";"54";"34408";"83";"268";"0.3097015";"0.109034635";"17";"27";"0.6296296";"0.7602883";"0";"64";"227";"114";"59.789814";"621743.06";"106.319176";"0";"31"
"17";"Smokefire702";"16333";"8217";"3737";"5447";"466097";"3075";"6097";"0.5043464";"0.1841945";"154";"393";"0.3918575";"2.1025238";"311";"1023";"14066";"409";"1131.2571";"314769.1";"1512.9744";"240";"284"
"18";"sasquatch911";"812829";"303879";"291158";"238448";"24974921";"238383";"121034";"1.9695541";"0.22168483";"7942";"9494";"0.83652836";"1.9527487";"359";"3417";"808289";"654";"35158.207";"50654.027";"62360.523";"98";"12"
"19";"rick_wright";"619924";"214436";"225315";"194888";"12118656";"200464";"71014";"2.82288";"0.2703979";"4793";"3862";"1.2410668";"3.069271";"0";"959";"557948";"53409";"11956.738";"47761.508";"12190.98";"25";"7583"
"20";"DAREDEVILE";"616996";"204499";"226360";"198568";"11490789";"190773";"102153";"1.8675222";"0.20469564";"3475";"4917";"0.70673174";"3.22169";"1338";"14344";"479999";"20162";"11734.193";"46900.703";"16982.068";"1876";"99277"
"21";"CARPE-DIEM50";"574683";"178313";"186846";"215013";"12947513";"160322";"61240";"2.6179295";"0.15265939";"3766";"7388";"0.50974554";"2.6631353";"79";"24136";"501198";"38419";"14823.359";"46321.305";"386.4373";"115";"10736"
"22";"warhog4";"756245";"329408";"208089";"243991";"16355457";"171756";"169238";"1.0148785";"0.207285";"4689";"6544";"0.71653426";"2.774285";"1915";"5203";"738131";"7642";"26061.861";"41076.98";"161494.17";"1914";"1440"
"23";"p1tst0p";"1523040";"651544";"326943";"589624";"33884739";"280645";"387699";"0.72387344";"0.14806859";"13387";"18503";"0.7235043";"2.6968598";"28750";"123833";"984103";"279167";"65393.414";"36899.16";"306425.5";"21509";"85678"
"24";"cultureshock";"582320";"305530";"126754";"156559";"23466658";"100322230";"-99917929";"1.00322232E8";"0.115812644";"9428";"10952";"0.86084735";"1.488887";"22033";"46592";"325449";"162669";"41107.418";"36732.473";"140015.25";"11422";"14155"
"25";"Ezra1977";"707483";"246995";"216051";"258783";"25738617";"183743";"178422";"1.0298226";"0.12813744";"6104";"14381";"0.42444894";"1.6492332";"85";"1372";"540462";"164689";"44161.67";"35718.387";"338661.62";"67";"808"
"26";"sissydog";"1206374";"539706";"254396";"447923";"24652251";"221923";"246388";"0.9007054";"0.20738594";"10134";"14771";"0.6860741";"2.936139";"11271";"52437";"1043578";"78929";"38730.203";"33915.43";"215729.52";"8535";"11624"
"27";"AdmiralGrunt";"961733";"571896";"187074";"267759";"16986226";"164379";"238371";"0.68959314";"0.19834691";"6478";"11447";"0.5659125";"3.397104";"5938";"14649";"914068";"22752";"29959.99";"33271.434";"99095.945";"1706";"2620"
"28";"Hynek-Praha";"2223525";"684604";"502665";"1111072";"40186976";"437277";"350403";"1.247926";"0.20192778";"17952";"19339";"0.92827964";"3.3197696";"93324";"112686";"1860829";"105883";"39999.426";"31773.787";"414898.2";"8616";"42187"
"29";"soup_and_salad";"686474";"392261";"111378";"203619";"20694484";"94682";"235500";"0.4020467";"0.15878642";"5168";"9407";"0.5493781";"1.9903101";"3702";"862";"656989";"15534";"28851.654";"31331.893";"126882.35";"857";"8530"
