"RANK";"NAME";"PTS";"TS";"CS";"BS";"GT";"K";"D";"KDR";"GA";"W";"L";"WLR";"SPM";"DS";"TDS";"CTF";"ZS";"MW";"MD";"MF";"MRK";"COL"
"1";"Jonator";"98020";"55431";"24098";"21545";"2102393";"20901";"16031";"1.3037864";"0.18404791";"931";"1208";"0.7706954";"2.7973838";"980";"9599";"69200";"15226";"3277.9485";"2875.5703";"2.34866394E15";"830";"2185"
"2";"Bistyboy_01";"4224";"2963";"926";"533";"114066";"777";"1057";"0.7350993";"0.14996238";"55";"55";"1.0";"2.2218716";"0";"58";"1871";"2295";"191.96303";"158.01079";"6.5330081E12";"0";"0"
"3";"DEEPEST_BLUE";"65343";"44914";"14024";"8430";"997955";"12437";"9580";"1.2982255";"0.3099731";"478";"414";"1.1545894";"3.928614";"1140";"2346";"52846";"9011";"1947.1005";"1550.6564";"1.33412435E12";"0";"0"
"4";"etgftggf";"188";"214";"35";"0";"12347";"35";"118";"0.29661018";"0.09679401";"4";"12";"0.33333334";"0.9135822";"16";"10";"141";"21";"16.936369";"17.049078";"2.55819952E8";"0";"0"
"5";"The_Tsar";"3612";"2431";"874";"509";"148758";"767";"1155";"0.66406924";"0.13839877";"77";"211";"0.3649289";"1.4568628";"17";"339";"1608";"1374";"185.4543";"195.32484";"1.1784428E8";"4";"270"
"6";"FEDS718";"2291";"1155";"382";"1502";"142163";"313";"1728";"0.18113425";"0.10381706";"61";"147";"0.414966";"0.9669183";"0";"209";"124";"1922";"254.32587";"153.64117";"5.3217376E7";"4";"32"
"7";"TONX";"10307";"7222";"2826";"1172";"269347";"2259";"3103";"0.7280052";"0.18699218";"101";"202";"0.5";"2.2959974";"72";"275";"9128";"690";"538.74896";"486.1222";"1.3314573E7";"142";"0"
"8";"sasomaru";"4400";"1193";"1281";"2258";"216018";"1105";"1775";"0.6225352";"0.14689265";"86";"188";"0.4574468";"1.2221204";"120";"1241";"1836";"679";"287.7116";"208.96455";"2610593.5";"49";"475"
"9";"markjayw";"2049716";"576492";"693160";"819522";"32743306";"638554";"191097";"3.3415177";"0.14351152";"17200";"12676";"1.356895";"3.7559726";"2888";"233846";"1117303";"469356";"27784.928";"6519.723";"1028886.1";"4039";"222284"
"10";"zikenyade";"1042481";"285197";"345002";"438132";"26835321";"321314";"161691";"1.9872102";"0.1292804";"8311";"11622";"0.7151093";"2.3308408";"2006";"27851";"767602";"223202";"25826.057";"8966.337";"906511.44";"11575";"10245"
"11";"La_Vaca";"700534";"159347";"233831";"323618";"20154730";"211179";"85084";"2.482006";"0.10472892";"6505";"8915";"0.7296691";"2.0854678";"348";"10360";"443344";"215612";"19216.795";"4460.0312";"797292.2";"7651";"23219"
"12";"piopardo";"3575";"2789";"1138";"107";"268275";"963";"2199";"0.43792632";"0.07568239";"75";"254";"0.2952756";"0.7995527";"0";"279";"3118";"183";"396.60196";"438.0413";"698864.6";"-2";"-3"
"13";"ritsch35";"2579258";"876386";"615671";"1171940";"35849870";"544708";"236564";"2.302582";"0.21290497";"16798";"14995";"1.1202401";"4.3167653";"72216";"58041";"2030821";"340054";"50366.312";"28162.236";"626586.94";"7026";"71100"
"14";"obrigadosenhor";"851954";"295306";"250101";"352442";"23026642";"230912";"186219";"1.2400024";"0.12294255";"7393";"12484";"0.592198";"2.2199173";"1012";"5133";"831648";"12561";"21448.822";"11964.89";"610674.6";"663";"937"
"15";"mkdz";"611536";"202850";"200581";"222448";"19423035";"185697";"78265";"2.3726697";"0.123117775";"4906";"12320";"0.39821428";"1.8891052";"7544";"5914";"573988";"10861";"13505.145";"7240.004";"583521.25";"329";"12900"
"16";"ADDICT_07";"1036298";"330526";"283186";"469302";"22517071";"265079";"156931";"1.6891437";"0.13248393";"8485";"9815";"0.86449313";"2.7613661";"27201";"27782";"911657";"51568";"25295.754";"6036.884";"566298.9";"6382";"11708"
"17";"freakyevil";"1294318";"484532";"220832";"617917";"20426719";"208348";"127656";"1.632105";"0.18384";"10662";"12410";"0.8591459";"3.801838";"11407";"36655";"791853";"414031";"20216.826";"14896.408";"549925.2";"7387";"32985"
"18";"aris79";"2947501";"628713";"272136";"2085148";"64124864";"247944";"117408";"2.1118152";"0.17392114";"38439";"42565";"0.9030659";"2.7579014";"10392";"52711";"1270089";"1473434";"19279.564";"7051.304";"510415.38";"7912";"132963"
"19";"Dudu_Nessa";"582262";"101301";"231617";"290412";"17260922";"217554";"105065";"2.070661";"0.1263104";"5223";"8164";"0.6397599";"2.0239778";"3286";"2785";"572531";"2499";"14147.184";"3080.1375";"509127.38";"977";"184"
"20";"frankthedarsh2";"723240";"134243";"293522";"312951";"13666779";"278079";"52292";"5.3178115";"0.23803085";"4697";"5153";"0.91150784";"3.1751738";"535";"1814";"718103";"2097";"9544.427";"8375.195";"503986.03";"140";"551"
"21";"Red-Lancer";"685847";"173285";"243749";"280618";"15365973";"231095";"111892";"2.0653398";"0.13456307";"4046";"3624";"1.1164459";"2.6780484";"965";"9375";"634005";"27669";"14011.608";"5524.9546";"498861.53";"6461";"7372"
"22";"cokenut";"903660";"355304";"252051";"316453";"18201822";"229725";"132960";"1.7277752";"0.14966296";"5861";"4343";"1.349528";"2.9788008";"901";"15819";"852684";"16885";"19475.938";"23938.94";"494862.34";"704";"16667"
"23";"yipcon";"1230701";"463681";"362134";"440366";"26817345";"335628";"251637";"1.3337784";"0.1420317";"7995";"9993";"0.80006003";"2.7535188";"140";"11981";"1175419";"36840";"33031.51";"18233.809";"493892.4";"687";"5634"
