"RANK";"NAME";"PTS";"TS";"CS";"BS";"GT";"K";"D";"KDR";"GA";"W";"L";"WLR";"SPM";"DS";"TDS";"CTF";"ZS";"MW";"MD";"MF";"MRK";"COL"
"1";"xtreem13";"22601023511";"22600343908";"144267";"560756";"12050894";"130859";"72684";"1.8003825";"0.24330518";"12441";"5954";"2.0895197";"112527.87";"10970";"30508";"22600501645";"444635";"Infinity";"2522.5483";"49294.508";"29055";"6698"
"2";"XxChI_cHiPo_26xX";"5000266490";"5000144727";"107891";"18340";"1643837";"102848";"17049";"6.0324945";"204.88518";"979";"2735";"0.35795248";"182509.56";"-1342171125";"2414";"6342433388";"479";"Infinity";"380.65607";"9503.894";"825";"509"
"3";"WarOracle-";"467418473";"467338825";"58632";"28468";"564103";"60386";"13159";"4.5889506";"0.19675829";"765";"349";"2.191977";"49716.29";"1827";"818";"467391982";"23819";"Infinity";"29.260057";"5663.54";"2";"25"
"4";"DaysofChange";"100380248";"100298844";"10286";"71995";"1283636";"9904";"2603";"3.8048406";"0.20489125";"1454";"302";"4.8145695";"4691.996";"2144";"1704";"100307679";"67395";"Infinity";"132.1847";"5629.91";"19";"1307"
"5";"Mistly-";"3449961";"3007396";"433063";"10123";"339263";"432834";"2236";"193.57513";"2.5978236E-4";"497";"312";"1.5929487";"610.1392";"-1146422055";"11";"1149868724";"3203";"Infinity";"19.507626";"2708.196";"78";"0"
"6";"AncientZeus";"1909168";"1148686";"915206";"721742";"697959";"34660";"3340";"10.377246";"0.5045486";"1078";"472";"2.2838984";"164.12149";"674";"49";"1893004";"2552";"Infinity";"52.157997";"4149.4106";"12742";"147"
"7";"Anxiouz_SwaGKinG";"1726443";"1670028";"23985";"34407";"1491897";"23499";"6405";"3.6688526";"0.32279435";"1089";"519";"2.098266";"69.4328";"2389";"4321";"1719270";"92";"Infinity";"321.2382";"14677.121";"371";"0"
"8";"GUIZBO";"1466687";"515013";"296062";"718705";"22485527";"280299";"122710";"2.2842393";"0.20905803";"11951";"11322";"1.0555556";"3.9136825";"10784";"33470";"1312159";"85598";"Infinity";"3694.3745";"196589.84";"6841";"17835"
"9";"xLegendSheck_";"1122202";"1109207";"5344";"8090";"450006";"5205";"2835";"1.8359789";"0.23634191";"438";"220";"1.9909091";"149.62494";"401";"1410";"1119623";"352";"Infinity";"37.180504";"2066.546";"187";"229"
"10";"ELBARBARO777";"884700";"421376";"197938";"323545";"15337641";"184982";"177950";"1.0395167";"0.21044518";"7208";"9747";"0.7395096";"3.4608974";"5773";"10451";"857701";"4727";"Infinity";"6220.003";"82822.77";"3338";"2710"
