"RANK";"NAME";"PTS";"TS";"CS";"BS";"GT";"K";"D";"KDR";"GA";"W";"L";"WLR";"SPM";"DS";"TDS";"CTF";"ZS";"MW";"MD";"MF";"MRK";"COL"
"1";"Sheckless4";"983547510784";"983547510784";"-8589934592";"0";"2310";"0";"0";"0.0";"0.0";"257";"248";"1.0362903";"2.55466885E10";"0";"0";"983547510784";"0";"0.16070992";"0.0";"0.20785819";"0";"0"
"2";"patcholoIolol";"3000000039";"3000000000";"0";"39";"8";"0";"0";"0.0";"0.0";"3";"0";"3.0";"2.24999997E10";"0";"0";"3000000039";"0";"0.0";"0.0";"0.0";"0";"0"
"3";"patchoIololol";"3000000039";"3000000000";"0";"39";"9";"0";"0";"0.0";"0.0";"3";"0";"3.0";"2.0E10";"0";"0";"3000000039";"0";"0.0021987625";"0.0";"0.0";"0";"0"
"4";"patcholololoI";"3000000039";"3000000000";"0";"39";"14";"0";"0";"0.0";"0.0";"3";"0";"3.0";"1.28571433E10";"0";"0";"3000000039";"0";"0.0027083782";"0.0";"0.0";"0";"0"
"5";"patchololololoI";"3000000039";"3000000000";"0";"39";"16";"0";"0";"0.0";"0.0";"3";"0";"3.0";"1.12499999E10";"0";"0";"3000000039";"0";"0.04071074";"0.0";"0.0";"0";"0"
"6";"JustDontEvenTry";"102500003203";"3";"102500000010";"3190";"1016";"-579215094";"1";"-5.792151E8";"1.0";"110";"1";"110.0";"6.0531497E9";"0";"102500003190";"13";"0";"0.07016643";"0.0";"16.017391";"0";"0"
"7";"patchoIoloIol";"3000000039";"3000000000";"0";"39";"44";"0";"0";"0.0";"0.0";"3";"0";"3.0";"4.09090893E9";"0";"0";"3000000039";"0";"0.09324827";"0.0";"0.0";"0";"0"
"8";"Lemone_raupi";"20000000450";"10000000000";"10000000000";"450";"1350";"1410065408";"0";"1.41006541E9";"0.0";"11";"2";"5.5";"8.888889E8";"0";"0";"20000000450";"0";"1.0687977";"0.0";"0.0";"0";"0"
"9";"OopsIJustModded";"1300000053";"1300000027";"0";"26";"124";"0";"0";"0.0";"0.0";"2";"0";"2.0";"6.2903226E8";"0";"0";"1300000053";"0";"0.09697317";"0.0";"0.3553152";"0";"0"
"10";"STUNT_CANT_RIFLE";"1300000059";"27";"1300000000";"32";"139";"1300000000";"0";"1.3E9";"0.88372093";"1";"1";"1.0";"5.611511E8";"0";"0";"1300000059";"0";"0.09162334";"0.0";"1.2245232";"0";"0"
