"RANK";"NAME";"PTS";"TS";"CS";"BS";"GT";"K";"D";"KDR";"GA";"W";"L";"WLR";"SPM";"DS";"TDS";"CTF";"ZS";"MW";"MD";"MF";"MRK";"COL"
"1";"Score";"17504139188203";"18680960245253";"18680960245253";"18680960245253";"20038071";"0";"0";"0.0";"0.0";"0";"0";"0.0";"5.2412644E7";"0";"4861902972280";"10269266788198";"695784700980";"0.12825993";"0.0";"0.0";"1677184726745";"0"
"2";"JustDontEvenTry";"102500003203";"3";"102500000010";"3190";"1016";"-579215094";"1";"-5.792151E8";"1.0";"110";"1";"110.0";"6.0531497E9";"0";"102500003190";"13";"0";"0.07016643";"0.0";"16.017391";"0";"0"
"3";"YO_IM_TYRONE";"90301117679";"85301106499";"5000006802";"5903";"255180";"-1894959872";"100004345";"-18.948776";"0.20754212";"223";"242";"0.9214876";"2.1232334E7";"601";"87700826170";"2600290246";"254";"328.536";"39.021465";"4443.2275";"393";"15"
"4";"Mr_Warhawk_99";"14000058967";"7000049125";"7000003402";"7660";"430676";"-1589931584";"-1999994882";"-1.58993152E9";"0.17694318";"305";"349";"0.8739255";"1950430.5";"166";"14000005353";"53228";"157";"745.70746";"590.0203";"1999.7341";"24";"39"
"5";"TartineMasquee";"13000965750";"13000959913";"3382";"3140";"171871";"705691566";"75505";"9346.289";"0.14710763";"288";"205";"1.404878";"4538625.0";"143";"13000660430";"305041";"74";"318.84268";"17.667067";"3934.084";"0";"62"
"6";"Joshua1337x";"12922374652";"11894862425";"1027510963";"1439";"53076";"511871364";"3167439";"161.60417";"0.09645582";"50";"43";"1.1627907";"1.4608156E7";"410000213";"11359634415";"1152739999";"15";"115.60456";"21.451094";"865.26385";"10";"0"
"7";"YourWelcomeMatey";"10200004602";"5100001198";"5100002678";"1230";"106914";"805035017";"-2009999112";"8.0503501E8";"0.21419689";"44";"147";"0.2993197";"5724229.5";"282";"10200000026";"3955";"46";"229.78304";"24.746933";"293.9111";"0";"293"
"8";"Faze_GotYou-_-";"5000000248";"2000000005";"3000000076";"178";"7001";"-1294967230";"29";"-4.465404E7";"0.14882308";"5";"0";"5.0";"4.285102E7";"0";"5000000037";"211";"0";"17.437477";"0.89895046";"16.793095";"0";"0"
"9";"RUSHUM";"4305757141";"2305610218";"2000072712";"82657";"5544476";"1900068443";"-99943495";"1.90006848E9";"0.17655015";"1806";"3606";"0.50083196";"46595.105";"2701";"4404021302";"-98269540";"319";"8206.953";"1648.8895";"113619.336";"1825";"534"
"10";"KrAzYkAiTliN187";"5000078895";"3000027062";"2000029703";"24553";"1578240";"2000026874";"19176";"104298.44";"0.15084524";"526";"963";"0.54620975";"190088.16";"7073";"4000000873";"1000063787";"2184";"3527.0063";"539.7684";"21149.059";"1873";"3105"
"11";"ThisAccountTest";"2000004732";"1000001878";"1000002019";"1128";"52881";"1000001648";"1000000444";"1.0000012";"0.15461875";"33";"55";"0.6";"2269251.5";"152";"3999999998";"-1999995831";"301";"129.34505";"19.39621";"97.062935";"26";"86"
"12";"L_E_S_75";"9902363181";"9902108564";"195910";"62073";"3982137";"1883200882";"273341509";"6.8895535";"0.113903545";"1012";"2300";"0.44";"149201.75";"2070";"2452995109";"7449364413";"322";"2486.178";"267.50732";"155480.61";"930";"337"
"13";"Whiskey_Nip";"425770";"182075";"101946";"149689";"5029736";"95948";"6131";"15.64965";"0.14927457";"2328";"1964";"1.185336";"5.0790343";"605";"2000174761";"-1999752797";"1612";"5827.4097";"2979.2283";"149086.58";"461";"1128"
"14";"GEN_KSA_69";"898775";"293633";"273407";"396531";"19036389";"258914";"1000184929";"2.5886612E-4";"0.16288237";"7722";"13676";"0.5646388";"2.8328116";"36153";"2000027311";"-1999232776";"49201";"24994.734";"6139.691";"270300.75";"6203";"12683"
"15";"Enzster";"-1999692632";"-999867531";"-999911162";"93798";"7456576";"-999919052";"1000062264";"-0.99985677";"0.113760576";"1642";"2455";"0.6688391";"-16090.704";"141";"2000009380";"-3999713702";"9096";"10625.677";"4770.1865";"174743.14";"308";"2145"
"16";"FaceToFace08";"-10867779410";"8442502769";"10754476109";"16390";"1170336";"-2086914802";"12220";"-170778.62";"0.17977615";"662";"763";"0.8676278";"-557162.06";"1106";"2000002460";"-12867788020";"4087";"1957.5303";"1003.55383";"12808.459";"450";"507"
"17";"Ragoi";"6302099427";"6302075530";"12054";"14648";"862546";"-1294655619";"10680";"-121222.44";"0.18167451";"534";"1130";"0.47256637";"438383.53";"1003915";"2000001833";"4301092410";"336";"1969.7422";"254.7909";"7329.42";"445";"488"
"18";"BlueHazard1988";"2000051754";"1000024384";"1000010405";"21812";"2359916";"1000009521";"21350";"46838.855";"0.17508666";"790";"1585";"0.4984227";"50850.582";"1125";"2000001026";"44666";"1884";"3393.6282";"2199.5603";"8420.285";"701";"2352"
"19";"Alenchik";"2000576049";"1000560723";"1000012664";"7541";"1101364";"1000012278";"17940";"55742.047";"0.18598646";"310";"1989";"0.15585722";"108987.19";"1846";"2000000730";"571713";"1298";"1963.5043";"351.6478";"2989.7441";"291";"171"
