"RANK";"NAME";"PTS";"TS";"CS";"BS";"GT";"K";"D";"KDR";"GA";"W";"L";"WLR";"SPM";"DS";"TDS";"CTF";"ZS";"MW";"MD";"MF";"MRK";"COL"
"1";"knight";"-20188493756039";"20188493765444";"0";"28213";"173660223";"0";"0";"0.0";"0.0";"0";"0";"0.0";"-6975170.5";"0";"0";"-20188493756039";"0";"0.0";"0.0";"0.0";"0";"0"
"2";"Score";"17504139188203";"18680960245253";"18680960245253";"18680960245253";"20038071";"0";"0";"0.0";"0.0";"0";"0";"0.0";"5.2412644E7";"0";"4861902972280";"10269266788198";"695784700980";"0.12825993";"0.0";"0.0";"1677184726745";"0"
"3";"uHoHBanGBanG";"3122441504874";"11089520298226";"1813139153";"7776458177335";"147811981";"14772";"4864";"3.0370066";"0.16927";"338";"1136";"0.2975352";"1267464.9";"4094";"13336802";"3122428163079";"11";"868.14154";"21.885397";"6400.558";"769";"119"
"4";"YTSheckless";"-1806328711147";"1818623682014";"1102";"3633";"18163835";"1046";"405";"2.582716";"0.2111668";"25";"47";"0.5319149";"-5966786.0";"289";"0";"-1806328711534";"0";"137.76085";"13.614296";"387.08755";"109";"-11"
"5";"II-3nvyII";"1000727379968";"1000727379968";"0";"0";"115228";"0";"0";"0.0";"2.2143922";"1326";"205";"6.4682927";"5.21085536E8";"6246";"32988";"1000717340572";"10000126";"279.2591";"5.2464185";"808.60077";"22";"14"
"6";"Sheckless4";"983547510784";"983547510784";"-8589934592";"0";"2310";"0";"0";"0.0";"0.0";"257";"248";"1.0362903";"2.55466885E10";"0";"0";"983547510784";"0";"0.16070992";"0.0";"0.20785819";"0";"0"
"7";"CARRAPATCHO";"434644926664";"433644676124";"432644314412";"431644380280";"7881083";"470745";"80813";"5.8251147";"0.20208468";"3575";"6450";"0.5542636";"3309024.2";"8729";"6200";"434644857070";"50234";"17243.092";"4150.166";"82278.57";"2452";"1979"
"8";"TheXtreemist";"-292057275870";"343597229269";"23622976274";"23622329886";"300019";"124";"22";"5.6363635";"0.19280837";"647";"490";"1.3204081";"-5.8407756E7";"1724";"604";"-292057278366";"4";"440.66574";"33.079216";"2094.213";"141";"23"
"9";"xMiIIennium";"305482265715";"305482245101";"117921537";"501";"-269458644";"1118225489";"117901378";"9.484415";"0.9998689";"131";"142";"0.92253524";"0.0";"99";"0";"305482265616";"0";"47.806164";"0.050484367";"59.087265";"0";"0"
"10";"CARRAPOTATO";"284522117279";"244111473961";"-454388503715";"-454388613271";"44823";"122583";"12219";"10.032163";"0.8942665";"1393";"270";"5.1592593";"3.80860896E8";"115";"0";"284522117159";"5";"76.61761";"6.376803";"457.49826";"0";"0"
"11";"AncientOracIe";"121619444369";"173912769355";"-5053691160";"7032";"171450";"100269144";"458";"218928.27";"0.1942334";"600";"180";"3.3333333";"4.2561488E7";"1181046";"752";"121618261871";"599";"473.10367";"20.42424";"725.4926";"0";"101"
"12";"GottaLottaGame";"139000000931";"139000000118";"243";"578";"2780871";"231";"80";"2.8875";"0.16179933";"8";"26";"0.30769232";"2999060.2";"14";"89";"139000000828";"0";"25.77438";"1.2180494";"171.163";"0";"0"
