"RANK";"NAME";"PTS";"TS";"CS";"BS";"GT";"K";"D";"KDR";"GA";"W";"L";"WLR";"SPM";"DS";"TDS";"CTF";"ZS";"MW";"MD";"MF";"MRK";"COL"
"1";"DesVolstgalph";"275204";"204285";"27604";"43344";"475157";"26427";"586";"45.09727";"1.0599743";"1126";"3";"375.33334";"34.751125";"2763";"48728";"216189";"7524";"80.15942";"83.153595";"4043.0078";"0";"0"
"2";"NEW-GEN-WARHAWK";"106953";"74499";"2132";"30328";"89134";"2118";"30";"70.6";"0.86469215";"2139";"6";"356.5";"71.99475";"316";"1074";"105563";"0";"93.98303";"50.65601";"564.1042";"0";"0"
"3";"Noxious_718";"17134";"1284";"0";"15850";"190853";"0";"1";"0.0";"0.0";"321";"1";"321.0";"5.3865542";"0";"0";"0";"17134";"0.5634831";"0.0";"0.26397866";"0";"0"
"4";"enemyyomama21x";"58572";"50069";"2074";"6431";"69179";"2066";"2";"1033.0";"0.7051027";"275";"0";"275.0";"50.80039";"0";"0";"58572";"0";"92.725075";"8.618923";"1442.3757";"0";"0"
"5";"Ricuj";"13870";"1986";"1";"11886";"143093";"1";"7";"0.14285715";"0.1262136";"241";"0";"241.0";"5.8157983";"0";"0";"1064";"12806";"Infinity";"0.0";"10.0849285";"0";"0"
"6";"GremReaps";"922";"922";"0";"0";"69000";"0";"0";"0.0";"0.0";"230";"0";"230.0";"0.80173916";"0";"0";"0";"922";"Infinity";"0.0";"0.4452296";"0";"0"
"7";"Ghost1003";"8400";"0";"0";"8400";"9481";"0";"0";"0.0";"0.0";"168";"1";"168.0";"53.15895";"0";"0";"8400";"0";"0.0";"0.0";"0.0";"0";"0"
"8";"F-35C__US_NAVY";"33208";"1562";"140";"31506";"379561";"134";"9";"14.888889";"0.1610487";"628";"4";"157.0";"5.249433";"0";"0";"2093";"31115";"8.0886135";"0.6180385";"26.04246";"0";"0"
"9";"SoIdier44";"7730";"11";"23";"7700";"9193";"21";"19";"1.1052631";"0.2784";"155";"1";"155.0";"50.45143";"15";"0";"7715";"0";"3.8065305";"0.21836932";"0.57790345";"0";"0"
"10";"enemyyomama21";"73757";"68915";"78";"4766";"36837";"76";"26";"2.9230769";"0.745283";"260";"2";"130.0";"120.135185";"0";"0";"73757";"0";"18.247698";"4.6511936";"575.3633";"0";"0"
"11";"Rupinder";"275109";"220077";"24984";"30074";"440369";"20667";"505";"40.92475";"1.1689953";"1000";"9";"111.111115";"37.48343";"8484";"25757";"233885";"6983";"104.367424";"5.777474";"3426.4573";"0";"0"
"12";"JustDontEvenTry";"102500003203";"3";"102500000010";"3190";"1016";"-579215094";"1";"-5.792151E8";"1.0";"110";"1";"110.0";"6.0531497E9";"0";"102500003190";"13";"0";"0.07016643";"0.0";"16.017391";"0";"0"
"13";"PViddy";"275044";"209590";"27026";"38796";"866583";"21584";"881";"24.499432";"1.8302864";"879";"8";"109.875";"19.043346";"3154";"5148";"255630";"9516";"193.75731";"27.380411";"3031.5762";"1596";"0"
"14";"Captain___Chaos";"5350";"0";"0";"5350";"6293";"0";"0";"0.0";"0.0";"107";"0";"107.0";"51.00906";"0";"0";"5350";"0";"0.0";"0.0";"0.0";"0";"0"
"15";"Nemesis_WM";"275330";"211351";"25008";"39478";"593341";"24784";"525";"47.20762";"0.7940464";"1269";"12";"105.75";"27.842";"1783";"3733";"260678";"9024";"210.23253";"14.434411";"3223.8723";"0";"112"
"16";"LegendDesi-_p8il";"166865";"161457";"7";"5724";"60338";"7";"329";"0.021276595";"0.10695187";"316";"3";"105.333336";"165.93025";"10";"0";"166855";"0";"28.8371";"0.0";"1312.1067";"0";"0"
"17";"zidily";"130507";"96651";"28958";"4900";"406125";"28957";"2";"14478.5";"0.49186158";"324";"4";"81.0";"19.280813";"0";"0";"127683";"2824";"Infinity";"12.575769";"98.15379";"0";"0"
"18";"Convict47";"10031";"2574";"1285";"6210";"84960";"1161";"214";"5.425234";"0.25115806";"81";"1";"81.0";"7.0840397";"0";"5720";"589";"3722";"82.47031";"28.619219";"2334.4426";"0";"0"
"19";"MUGSHOT_22";"8998";"1424";"1316";"6288";"84637";"1283";"134";"9.574627";"0.13652304";"81";"1";"81.0";"6.3787704";"0";"4442";"597";"3864";"32.805286";"17.284023";"3494.5967";"95";"0"
"20";"T_Stephan";"276308";"209834";"25097";"41886";"581443";"24005";"515";"46.611652";"1.0167881";"1374";"17";"80.82353";"28.512648";"19340";"28882";"220796";"7268";"222.12312";"34.012287";"2997.9214";"0";"22"
"21";"Leigrez";"275211";"198107";"39865";"37277";"431967";"39639";"513";"77.269005";"0.9700559";"1098";"14";"78.42857";"38.22667";"1787";"39315";"227114";"6995";"129.21622";"7.0343676";"2663.0872";"0";"0"
"22";"REM12";"275536";"214913";"25646";"35423";"661938";"23674";"704";"33.627842";"0.89723814";"846";"11";"76.90909";"24.975391";"2338";"20395";"243841";"8962";"130.46611";"53.939";"3703.553";"0";"0"
"23";"OICURMT";"3422";"9";"11";"3404";"4275";"11";"5";"2.2";"0.35211268";"70";"1";"70.0";"48.02807";"0";"0";"3422";"0";"0.4065228";"0.59848326";"0.99805355";"0";"0"
"24";"Mr_Devil_man";"3400";"0";"0";"3400";"2551";"0";"2";"0.0";"0.0";"69";"0";"69.0";"79.96864";"0";"0";"3400";"0";"3.841495";"0.0";"0.45087728";"0";"0"
"25";"Element_336";"3253";"0";"3";"3250";"3608";"3";"0";"3.0";"0.4473684";"66";"0";"66.0";"54.09645";"0";"0";"3253";"0";"0.63990927";"0.0";"0.0";"0";"0"
"26";"GTFU";"9419";"198";"138";"9151";"16030";"132";"34";"3.8823528";"0.23825538";"185";"3";"61.666668";"35.25515";"0";"0";"9419";"0";"7.322757";"13.133973";"153.06006";"0";"0"
"27";"anthfett";"3049";"0";"0";"3050";"2957";"0";"1";"0.0";"0.0";"61";"0";"61.0";"61.866756";"0";"0";"3049";"0";"0.74005926";"0.0";"0.0";"0";"0"
"28";"AIR-LORD";"2950";"0";"0";"2950";"3387";"0";"0";"0.0";"0.0";"59";"0";"59.0";"52.258636";"0";"0";"2950";"0";"0.0";"0.0";"0.0";"0";"0"
"29";"Booga032-_-_-_-_";"5225";"3275";"227";"1726";"6874";"224";"4";"56.0";"0.3951403";"117";"2";"58.5";"45.606632";"151";"0";"5074";"0";"9.096701";"0.42329243";"104.93333";"0";"0"
"30";"JetBlackIV";"3038";"0";"1636";"1402";"21270";"1635";"1";"1635.0";"0.7122309";"58";"1";"58.0";"8.569817";"2522";"516";"0";"0";"4.2080603";"0.020413753";"5.92533";"0";"0"
"31";"GIONAScm2";"275245";"203830";"36892";"34551";"648486";"20528";"530";"38.732075";"0.72363746";"1241";"22";"56.409092";"25.466549";"2287";"6836";"221018";"7218";"77.738914";"13.492698";"2751.9856";"37886";"0"
"32";"MaGic_-Drop";"3464";"544";"549";"2394";"5483";"546";"19";"28.736841";"0.6572856";"55";"1";"55.0";"37.906258";"2893";"0";"571";"0";"0.6075777";"0.53347176";"236.35623";"0";"0"
"33";"syntribion";"35536";"27874";"7053";"612";"117459";"7053";"8";"881.625";"0.7719524";"270";"5";"54.0";"18.152376";"0";"0";"34456";"1080";"1.128953";"2.9575837";"10.379786";"0";"0"
"34";"Project-X51";"275859";"196317";"35696";"43906";"480896";"26211";"533";"49.17636";"1.0049564";"1063";"20";"53.15";"34.41813";"4648";"14257";"231656";"10263";"80.9107";"60.94422";"2895.5415";"15035";"0"
"35";"RedKilla420";"7750";"2340";"302";"5172";"26110";"262";"136";"1.9264706";"0.20149347";"102";"2";"51.0";"17.809269";"0";"376";"7094";"271";"39.58673";"12.377708";"362.435";"9";"0"
"36";"L33N3WB3";"11413";"783";"4247";"6384";"42691";"4246";"11";"386.0";"0.5957555";"136";"3";"45.333332";"16.040382";"1144";"6495";"3676";"98";"20.163733";"12.94252";"232.90639";"0";"0"
"37";"SentientSoul";"11764";"718";"29";"11181";"12696";"29";"57";"0.50877196";"0.16526473";"224";"5";"44.8";"55.595463";"0";"0";"11764";"0";"31.984722";"3.6676538";"61.08844";"0";"0"
"38";"xVx_K1LLeR_xVx";"2326";"176";"0";"2150";"26050";"0";"0";"0.0";"0.0";"44";"0";"44.0";"5.35739";"0";"0";"0";"2326";"0.0";"0.0";"0.0";"0";"0"
"39";"Dario_ru";"275893";"205701";"25856";"44395";"551257";"25808";"574";"44.961674";"0.74662584";"1139";"26";"43.807693";"30.02879";"8420";"22521";"235534";"9396";"161.56674";"123.53337";"5031.499";"0";"22"
"40";"enemyyomama";"36804";"34090";"158";"2564";"31929";"142";"99";"1.4343435";"0.36419475";"130";"3";"43.333332";"69.16095";"0";"0";"36804";"0";"40.096535";"12.191182";"357.97232";"0";"0"
"41";"SR_RB_F6";"4767";"298";"312";"4204";"15956";"272";"164";"1.6585366";"0.18534753";"86";"2";"43.0";"17.925547";"66";"0";"4062";"639";"31.973965";"7.983389";"162.50827";"0";"0"
"42";"USA_F-22A_Raptor";"4333";"0";"0";"4333";"52200";"0";"0";"0.0";"0.0";"85";"2";"42.5";"4.9804597";"0";"0";"0";"4333";"0.0";"0.0";"0.0";"0";"0"
"43";"Quijabone";"275549";"201859";"30746";"42984";"483200";"23844";"582";"40.96907";"0.8080004";"1215";"29";"41.896553";"34.21552";"2191";"31185";"212525";"11525";"73.55299";"30.882914";"2401.1257";"18123";"0"
"44";"SUWOO_BLOOD_Bow2";"2140";"52";"149";"1944";"27502";"138";"42";"3.2857144";"0.2062147";"41";"1";"41.0";"4.6687512";"0";"5";"434";"1701";"17.085953";"2.6287272";"100.02192";"0";"0"
"45";"killer91ITA";"275843";"212951";"28713";"34249";"468902";"28577";"521";"54.85029";"0.84532875";"1247";"31";"40.225807";"35.29646";"2664";"12528";"223318";"37234";"130.57292";"15.492022";"2568.1252";"-1";"100"
"46";"Eure_Fluffigkeit";"399969";"337071";"45247";"17670";"373612";"15252";"572";"26.664335";"0.3994997";"562";"14";"40.142857";"64.23279";"1497";"11633";"377934";"8905";"72.6694";"13.832596";"732.5276";"0";"0"
"47";"prarpin";"275276";"210669";"23868";"41313";"783273";"23293";"932";"24.992489";"1.1654625";"1477";"37";"39.91892";"21.086596";"3202";"38734";"220922";"12418";"Infinity";"90.941376";"4603.208";"0";"0"
"48";"Ch3ap_VIP";"1979";"56";"0";"1926";"2368";"0";"3";"0.0";"0.0";"39";"1";"39.0";"50.14358";"0";"0";"1979";"0";"0.8104394";"0.0";"0.23316893";"0";"0"
"49";"sweet_tooth98";"18675";"9312";"5839";"4229";"494725";"5543";"730";"7.5931506";"0.7523593";"233";"6";"38.833332";"2.2648945";"268";"1032";"11718";"3487";"54.514454";"37.23539";"907.0465";"2170";"0"
"50";"NDablio";"275257";"218679";"23636";"32970";"495896";"23527";"543";"43.32781";"0.92825335";"1312";"34";"38.588234";"33.3042";"2654";"26300";"238656";"7491";"122.82734";"17.505648";"2747.0908";"110";"46"
"51";"TrillRynx";"36462";"8037";"420";"28032";"353468";"407";"135";"3.0148149";"0.22925496";"573";"15";"38.2";"6.1893015";"289";"0";"6557";"29437";"Infinity";"3.9338844";"304.15662";"163";"16"
