"RANK";"NAME";"PTS";"TS";"CS";"BS";"GT";"K";"D";"KDR";"GA";"W";"L";"WLR";"SPM";"DS";"TDS";"CTF";"ZS";"MW";"MD";"MF";"MRK";"COL"
"1";"xJollyJumperx";"3264208";"165499";"52939";"3054822";"119953237";"46886";"29718";"1.577697";"0.18847847";"61942";"85473";"0.7246967";"1.6327403";"27";"52022";"1362843";"1639676";"6650.352";"4122.811";"129606.73";"852";"208788"
"2";"SHOOTING_STARZ";"8822026";"5943855";"535884";"2415098";"41558499";"522018";"154950";"3.368945";"0.16135432";"56227";"10585";"5.3119507";"12.736782";"17572";"129894";"7544112";"1082602";"52675.82";"14759.27";"143808.7";"40459";"7387"
"3";"xxLuckyLukexx";"3002040";"780178";"196106";"2052245";"67057660";"178898";"85672";"2.0881734";"0.17810413";"38694";"47573";"0.8133605";"2.6860826";"5172";"23962";"1287856";"1519196";"25820.314";"15703.549";"428875.53";"1623";"164231"
"4";"BECKHAM--ALI";"7527781";"5804133";"390970";"1408193";"34639680";"355655";"231166";"1.5385264";"0.22040258";"38563";"21567";"1.7880558";"13.039002";"7032";"8547";"7493092";"16626";"60889.023";"24238.092";"159037.45";"1576";"908"
"5";"aris79";"2947501";"628713";"272136";"2085148";"64124864";"247944";"117408";"2.1118152";"0.17392114";"38439";"42565";"0.9030659";"2.7579014";"10392";"52711";"1270089";"1473434";"19279.564";"7051.304";"510415.38";"7912";"132963"
"6";"SamuraiJim";"2178392";"416514";"171873";"1636442";"64275444";"162449";"135307";"1.2005957";"0.18270475";"32658";"44041";"0.7415363";"2.033491";"32249";"66273";"1224968";"693012";"18633.834";"6089.373";"244723.83";"7612";"154278"
"7";"steedleyleo";"1663884";"180425";"127865";"1389384";"145663775";"110841";"189083";"0.58620286";"0.16578913";"28018";"59753";"0.46889696";"0.68536633";"1143";"1747";"1659525";"1033";"19899.248";"22619.795";"167687.78";"118";"318"
"8";"shln4680";"8650759";"6485942";"1364858";"817659";"21069639";"1351403";"68669";"19.679958";"0.25749972";"18325";"3867";"4.738816";"24.634762";"10963";"117349";"8279361";"180329";"12511.528";"8004.269";"174700.25";"45828";"16929"
"9";"Hynek-Praha";"2223473";"684592";"502624";"1111072";"40183259";"437247";"350358";"1.2480006";"0.20193052";"17952";"19337";"0.92837566";"3.319999";"93324";"112686";"1860777";"105883";"39993.805";"31770.594";"414874.22";"8616";"42187"
"10";"MrLoserx";"898487";"63745";"724";"834926";"36405165";"520";"554938";"9.370416E-4";"0.020544302";"17237";"25316";"0.68087375";"1.4808124";"138";"30166";"428793";"338508";"182.11002";"77.73319";"1161.7124";"50";"100832"
"11";"markjayw";"2049716";"576492";"693160";"819522";"32743306";"638554";"191097";"3.3415177";"0.14351152";"17200";"12676";"1.356895";"3.7559726";"2888";"233846";"1117303";"469356";"27784.928";"6519.723";"1028886.1";"4039";"222284"
"12";"MrLuici";"855066";"47578";"1538";"807591";"58724450";"1139";"621172";"0.0018336306";"0.22403713";"17024";"33506";"0.5080881";"0.87363887";"607";"3599";"539955";"210921";"183.458";"176.65504";"1500.5376";"300";"99684"
"13";"Pat8143";"906326";"91798";"21903";"794993";"74199194";"18241";"12270";"1.486634";"0.19547674";"16965";"35201";"0.48194653";"0.73288614";"383";"40406";"775786";"70024";"5193.261";"1204.492";"12883.876";"234";"19493"
"14";"MrTamco";"889790";"71630";"695";"818557";"37707454";"511";"512597";"9.968845E-4";"0.12107939";"16822";"27117";"0.6203489";"1.4158313";"370";"22923";"399735";"366912";"118.46391";"85.22751";"1274.9751";"250";"99600"
"15";"ritsch35";"2579258";"876386";"615671";"1171940";"35849870";"544708";"236564";"2.302582";"0.21290497";"16798";"14995";"1.1202401";"4.3167653";"72216";"58041";"2030821";"340054";"50366.312";"28162.236";"626586.94";"7026";"71100"
"16";"Rantanplany";"832849";"32910";"12320";"789042";"36722113";"11549";"3931";"2.9379294";"0.30127996";"16585";"26535";"0.62502354";"1.3607861";"6359";"7668";"405566";"332505";"1027.0581";"981.14886";"22868.75";"350";"80401"
"17";"No-Fear-One";"1001721599";"1000967591";"586358";"168261";"54081753";"316819";"30547";"10.371526";"0.17350389";"15960";"27071";"0.5895608";"1111.3414";"107";"6445";"1001525549";"154701";"11933.134";"1735.8422";"29849.336";"157";"34640"
