"RANK";"NAME";"PTS";"TS";"CS";"BS";"GT";"K";"D";"KDR";"GA";"W";"L";"WLR";"SPM";"DS";"TDS";"CTF";"ZS";"MW";"MD";"MF";"MRK";"COL"
"1";"Score";"17504139188203";"18680960245253";"18680960245253";"18680960245253";"20038071";"0";"0";"0.0";"0.0";"0";"0";"0.0";"5.2412644E7";"0";"4861902972280";"10269266788198";"695784700980";"0.12825993";"0.0";"0.0";"1677184726745";"0"
"2";"xLegendSura_";"9000811808";"9000806856";"1752";"3560";"74224";"9015175";"591";"15254.104";"0.297135";"405";"89";"4.550562";"7275931.0";"32";"990000093";"-999189564";"1000000663";"118.32196";"10.51363";"436.97357";"8010000383";"201"
"3";"CissaNO";"561838";"990213834";"341524";"7497";"156106";"361295";"1162";"310.92514";"0.3927296";"336";"16";"21.0";"215.94481";"300345";"376550";"-989978612";"989863555";"88.35006";"3.33982";"293.2006";"0";"0"
"4";"AdamVuNoahchi";"-1999698876";"-699912707";"-1099887992";"-99889252";"2723566";"-1099898037";"1100025377";"-0.99988425";"0.20617558";"1091";"2267";"0.48125276";"-44053.25";"5894";"-2399873445";"162673";"400002868";"3520.6665";"1821.7051";"49102.105";"41";"3093"
"5";"II-3nvyII";"1000727379968";"1000727379968";"0";"0";"115228";"0";"0";"0.0";"2.2143922";"1326";"205";"6.4682927";"5.21085536E8";"6246";"32988";"1000717340572";"10000126";"279.2591";"5.2464185";"808.60077";"22";"14"
"6";"JaMCiTyMoDz-";"84504800";"83372561";"1131658";"705";"28300";"67576986";"272";"248444.8";"0.16009222";"24";"31";"0.7741935";"179162.12";"10000085";"50575049";"13373202";"10000094";"51.923485";"4.163283";"337.04175";"556370";"0"
"7";"xJollyJumperx";"3264208";"165499";"52939";"3054822";"119953237";"46886";"29718";"1.577697";"0.18847847";"61942";"85473";"0.7246967";"1.6327403";"27";"52022";"1362843";"1639676";"6650.352";"4122.811";"129606.73";"852";"208788"
"8";"xxLuckyLukexx";"3002040";"780178";"196106";"2052245";"67057660";"178898";"85672";"2.0881734";"0.17810413";"38694";"47573";"0.8133605";"2.6860826";"5172";"23962";"1287856";"1519196";"25820.314";"15703.549";"428875.53";"1623";"164231"
"9";"aris79";"2947501";"628713";"272136";"2085148";"64124864";"247944";"117408";"2.1118152";"0.17392114";"38439";"42565";"0.9030659";"2.7579014";"10392";"52711";"1270089";"1473434";"19279.564";"7051.304";"510415.38";"7912";"132963"
"10";"SHOOTING_STARZ";"8822026";"5943855";"535884";"2415098";"41558499";"522018";"154950";"3.368945";"0.16135432";"56227";"10585";"5.3119507";"12.736782";"17572";"129894";"7544112";"1082602";"52675.82";"14759.27";"143808.7";"40459";"7387"
"11";"bigredreleif";"1333128";"516918";"320840";"524181";"18827917";"283577";"196622";"1.4422445";"0.12956613";"10335";"9405";"1.0988836";"4.2483554";"558";"8666";"461476";"853129";"31629.613";"20051.705";"281691.3";"1341";"7958"
